YEAR,dma_code,weight,hhmember,HINCP,AGEP,RAC1P
2006,500,0.01,2,44200.0,83.0,1.0
2006,500,0.01,1,11500.0,35.0,1.0
2006,500,0.01,2,36000.0,44.0,1.0
2006,500,0.01,2,64040.0,52.0,1.0
2006,500,0.01,2,58000.0,76.0,1.0
2006,500,0.01,2,98260.0,54.0,1.0
2006,500,0.01,2,27000.0,31.0,1.0
2006,500,0.01,2,69000.0,40.0,1.0
2006,500,0.01,2,85400.0,50.0,1.0
2006,500,0.01,2,54000.0,32.0,1.0
2006,500,0.01,2,29060.0,30.0,1.0
2006,500,0.01,1,34800.0,52.0,1.0
2006,500,0.01,2,60100.0,75.0,1.0
2006,500,0.01,2,62680.0,58.0,1.0
2006,500,0.01,2,73000.0,46.0,1.0
2006,500,0.01,2,42500.0,22.0,1.0
2006,500,0.01,2,114700.0,72.0,1.0
2006,500,0.01,2,46140.0,58.0,1.0
2006,500,0.01,2,91800.0,23.0,1.0
2006,500,0.01,3,93800.0,49.0,1.0
2006,500,0.01,2,41000.0,51.0,1.0
2006,500,0.01,2,10100.0,60.0,1.0
2006,500,0.01,2,64000.0,39.0,1.0
2006,500,0.01,2,30200.0,68.0,1.0
2006,500,0.01,1,14000.0,71.0,1.0
2006,500,0.01,2,75804.0,42.0,1.0
2006,500,0.01,3,86000.0,31.0,1.0
2006,500,0.01,2,26500.0,62.0,1.0
2006,500,0.01,2,32100.0,34.0,1.0
2006,500,0.01,2,62680.0,58.0,1.0
2006,500,0.01,2,168000.0,38.0,1.0
2006,500,0.01,2,65000.0,40.0,1.0
2006,500,0.01,3,42200.0,19.0,1.0
2006,500,0.01,2,34110.0,45.0,1.0
2006,500,0.01,2,38500.0,58.0,1.0
2006,500,0.01,2,77000.0,45.0,1.0
2006,500,0.01,1,17200.0,82.0,1.0
2006,500,0.01,4,37400.0,83.0,1.0
2006,500,0.01,4,30000.0,54.0,8.0
2006,500,0.01,2,58100.0,84.0,1.0
2006,500,0.01,2,28000.0,27.0,1.0
2006,500,0.01,2,43100.0,59.0,1.0
2006,500,0.01,3,93000.0,23.0,1.0
2006,500,0.01,2,40000.0,45.0,1.0
2006,500,0.01,2,53000.0,30.0,1.0
2006,500,0.01,3,206600.0,58.0,1.0
2006,500,0.01,2,24400.0,18.0,1.0
2006,500,0.01,1,8000.0,77.0,1.0
2006,500,0.01,2,84500.0,31.0,1.0
2006,500,0.01,4,102000.0,36.0,1.0
2006,500,0.01,2,48000.0,33.0,1.0
2006,500,0.01,1,0.0,36.0,1.0
2006,500,0.01,3,60300.0,54.0,1.0
2006,500,0.01,2,114000.0,43.0,1.0
2006,500,0.01,2,176000.0,72.0,1.0
2006,500,0.01,1,36260.0,39.0,1.0
2006,500,0.01,2,14600.0,70.0,1.0
2006,500,0.01,2,58000.0,76.0,1.0
2006,500,0.01,2,245050.0,56.0,1.0
2006,500,0.01,1,10000.0,54.0,1.0
2006,500,0.01,2,80000.0,51.0,1.0
2006,500,0.01,2,57700.0,61.0,1.0
2006,500,0.01,3,92000.0,42.0,1.0
2006,500,0.01,2,57700.0,61.0,1.0
2006,500,0.01,2,35200.0,76.0,1.0
2006,500,0.01,3,16000.0,35.0,1.0
