year,dma_code,B01001_001E,B01001_002E_wt,B19013_001E_wt
2009,771,349017,31092740955,13359223712
2009,773,177182,10080364812,8743763435
2009,789,1160376,489158359801,52545107057
2009,790,1825373,236859922706,80875174917
2009,798,8547,36777741,407743182
2009,800,780953,315486269128,36092523848
2009,801,591496,68410704357,25008059372
2009,802,157732,8686158670,6150536804
2009,803,17594816,56259893923560,1044686811533
2009,807,6695089,3801437876206,509195811993
2009,810,632873,47769472795,29244097624
2009,811,662149,88197947053,36092561816
2009,813,417995,25518599964,17310372999
2009,819,4581831,2348011846770,279425663546
2009,820,2994621,603096590455,159737010589
2009,821,151879,11424186501,8188252527
2009,825,2987543,4473355685448,187919442243
2009,828,711072,118481756444,44102399232
2009,839,1868964,1688491534987,104155869353
2009,855,664174,116762264338,38423871445
2009,862,4093445,1464488570677,238886965081
2009,866,1858639,539253885466,84131954758
2009,868,494958,41389850454,20874911445
2009,881,992763,119573933387,43059313593
