YEAR,dma_code,weight,HINCP_ADJ,AGEP,RAC1P,ESR
2008,500,0.002,12220.668,77.0,1.0,6.0
2008,500,0.002,90229.2654,56.0,1.0,1.0
2008,500,0.002,39106.1376,84.0,1.0,6.0
2008,500,0.002,20367.78,24.0,1.0,1.0
2008,500,0.002,65584.2516,59.0,1.0,1.0
2008,500,0.002,103946.96523,27.0,1.0,1.0
2008,500,0.002,20367.78,89.0,1.0,6.0
2008,500,0.002,53057.048511,45.0,1.0,1.0
2008,500,0.002,18331.002,85.0,1.0,6.0
2008,500,0.002,52956.228,47.0,1.0,1.0
2008,500,0.002,10183.89,77.0,1.0,6.0
2008,500,0.002,30857.1867,66.0,1.0,6.0
2008,500,0.002,32486.609099999998,74.0,1.0,6.0
2008,500,0.002,93691.788,45.0,1.0,6.0
2008,500,0.002,93691.788,29.0,1.0,1.0
2008,500,0.002,66195.285,41.0,1.0,1.0
2008,500,0.002,14664.8016,83.0,1.0,6.0
2008,500,0.002,20367.78,28.0,1.0,3.0
2008,500,0.002,21895.3635,44.0,1.0,1.0
2008,500,0.002,63038.2791,29.0,1.0,1.0
2008,500,0.002,36458.3262,47.0,1.0,6.0
2008,500,0.002,66195.285,63.0,1.0,1.0
2008,500,0.002,45827.505,36.0,1.0,2.0
2008,500,0.002,77193.8862,61.0,1.0,1.0
2008,500,0.002,32588.448,48.0,1.0,1.0
2008,500,0.002,147666.405,51.0,1.0,1.0
2008,500,0.002,20367.78,28.0,1.0,3.0
2008,500,0.002,58048.173,27.0,1.0,1.0
2008,500,0.002,10794.9234,78.0,1.0,6.0
2008,500,0.002,115485.3126,61.0,1.0,1.0
2008,500,0.002,147870.0828,85.0,1.0,6.0
2008,500,0.002,146648.016,57.0,1.0,6.0
2008,500,0.002,32690.2869,83.0,1.0,6.0
2008,500,0.002,92724.31845,54.0,1.0,1.0
2008,500,0.002,54993.006,21.0,1.0,2.0
2008,500,0.002,307930.28193,50.0,1.0,3.0
2008,500,0.002,80452.731,35.0,1.0,1.0
2008,500,0.002,230054.0751,45.0,1.0,1.0
2008,500,0.002,22506.3969,52.0,1.0,6.0
2008,500,0.002,57335.3007,27.0,1.0,1.0
2008,500,0.002,153776.739,39.0,1.0,1.0
2008,500,0.002,54687.4893,19.0,1.0,1.0
2008,500,0.002,139519.293,60.0,1.0,6.0
2008,500,0.002,213046.9788,56.0,1.0,1.0
2008,500,0.002,74546.0748,54.0,1.0,1.0
2008,500,0.002,52956.228,33.0,1.0,1.0
2008,500,0.002,52141.5168,70.0,1.0,6.0
2008,500,0.002,86155.70939999999,61.0,1.0,6.0
2008,500,0.002,70370.6799,23.0,1.0,1.0
2008,500,0.002,51937.839,68.0,1.0,6.0
2008,500,0.002,24441.336,41.0,1.0,1.0
2008,500,0.002,48271.6386,78.0,1.0,6.0
2008,500,0.002,17699.60082,68.0,1.0,6.0
2008,500,0.002,296351.199,35.0,1.0,6.0
2008,500,0.002,15275.835,61.0,1.0,1.0
2008,500,0.002,31570.059,20.0,1.0,3.0
2008,500,0.002,96746.955,28.0,1.0,1.0
2008,500,0.002,70268.841,39.0,1.0,1.0
2008,500,0.002,23321.1081,67.0,1.0,1.0
2008,500,0.002,48896.929446,28.0,1.0,1.0
2008,500,0.002,63425.26692,37.0,1.0,1.0
2008,500,0.002,8452.6287,73.0,1.0,6.0
2008,500,0.002,60084.951,51.0,1.0,1.0
2008,500,0.002,53465.4225,27.0,1.0,1.0
2008,500,0.002,32893.9647,68.0,1.0,6.0
2008,500,0.002,42059.4657,18.0,1.0,1.0
2008,500,0.002,95117.5326,50.0,1.0,6.0
2008,500,0.002,35643.615,25.0,1.0,1.0
2008,500,0.002,60084.951,44.0,1.0,2.0
2008,500,0.002,92724.31845,40.0,1.0,1.0
2008,500,0.002,64178.87478,54.0,1.0,1.0
2008,500,0.002,32588.448,32.0,1.0,1.0
2008,500,0.002,38393.2653,45.0,1.0,1.0
2008,500,0.002,67213.674,47.0,1.0,1.0
2008,500,0.002,34625.226,36.0,8.0,1.0
2008,500,0.002,71399.25279,41.0,9.0,6.0
2008,500,0.002,37537.81854,66.0,1.0,6.0
2008,500,0.002,102042.5778,33.0,1.0,1.0
2008,500,0.002,106930.845,53.0,1.0,1.0
2008,500,0.002,112574.756838,60.0,1.0,1.0
2008,500,0.002,89312.7153,61.0,1.0,1.0
2008,500,0.002,37537.81854,77.0,1.0,6.0
2008,500,0.002,22526.76468,83.0,1.0,6.0
2008,500,0.002,43363.00362,28.0,1.0,1.0
2008,500,0.002,63567.84138,61.0,1.0,6.0
2008,500,0.002,92673.399,51.0,1.0,1.0
2008,500,0.002,58048.173,34.0,1.0,1.0
2008,500,0.002,125261.847,63.0,1.0,1.0
2008,500,0.002,48841.93644,76.0,1.0,6.0
2008,500,0.002,32486.609099999998,74.0,1.0,6.0
2008,500,0.002,47864.283,29.0,1.0,1.0
2008,500,0.002,84607.75812,58.0,1.0,1.0
2008,500,0.002,126483.9138,60.0,1.0,1.0
2008,500,0.002,57640.8174,60.0,1.0,6.0
2008,500,0.002,42874.1769,48.0,1.0,1.0
2008,500,0.002,34727.0649,94.0,1.0,6.0
2008,500,0.002,133408.959,40.0,1.0,1.0
2008,500,0.002,90432.9432,73.0,1.0,6.0
2008,500,0.002,143592.849,51.0,1.0,1.0
2008,500,0.002,22506.3969,23.0,1.0,6.0
2008,500,0.002,59372.0787,34.0,1.0,1.0
2008,500,0.002,51937.839,33.0,1.0,1.0
2008,500,0.002,56011.395,46.0,1.0,1.0
2008,500,0.002,42059.4657,51.0,1.0,3.0
2008,500,0.002,27195.059856,21.0,1.0,1.0
2008,500,0.002,46234.8606,69.0,1.0,6.0
2008,500,0.002,83507.898,47.0,1.0,1.0
2008,500,0.002,36152.8095,67.0,1.0,6.0
2008,500,0.002,91655.01,64.0,1.0,1.0
