YEAR_,dma_code_,hhinc_per_person_mean,hhinc_per_person_median,unemployed_sum,inlaborforce_sum,employed
2006,500,33417.24963320835,27270.873750000002,11.0,320.0,0.965625
2006,501,47016.510728078545,31993.762500000004,17.0,315.0,0.946031746031746
2006,502,29816.329544688895,24376.2,12.0,301.0,0.9601328903654485
2006,503,27248.967333041663,22683.408333333336,20.0,311.0,0.9356913183279743
2006,504,38671.394959453835,31714.451875000002,14.0,331.0,0.9577039274924471
2006,505,36123.57242759467,29874.38733333334,24.0,326.0,0.9263803680981595
2006,506,45750.23262493336,34317.54226041667,19.0,339.0,0.943952802359882
2006,507,31531.261684975005,24706.294375000005,13.0,292.0,0.9554794520547946
2006,508,30315.523424733314,24300.024375,12.0,292.0,0.9589041095890412
2006,509,28973.26201384328,24551.234658333335,28.0,341.0,0.9178885630498533
2006,510,31931.38048310397,25391.875000000004,13.0,311.0,0.9581993569131833
2006,511,49918.17280573332,40119.162500000006,11.0,355.0,0.9690140845070423
2006,512,41091.57290487778,33517.275,9.0,331.0,0.972809667673716
2006,513,29451.772583395825,23868.362500000007,27.0,314.0,0.9140127388535032
2006,514,28995.903239420455,25129.49229166667,28.0,317.0,0.9116719242902208
2006,515,36870.6160690167,29031.377083333336,17.0,344.0,0.9505813953488372
2006,516,26756.51223091669,21329.175000000007,18.0,315.0,0.9428571428571428
2006,517,32062.486794641674,24884.0375,32.0,330.0,0.9030303030303031
2006,518,30065.57325551668,23284.349375,16.0,325.0,0.9507692307692308
2006,519,35915.603951183344,27084.66666666667,20.0,337.0,0.9406528189910979
2006,520,30186.465326625002,25046.545500000004,24.0,296.0,0.9189189189189189
2006,521,34657.36370975055,28587.797955000002,20.0,334.0,0.9401197604790419
2006,522,29614.52465977142,22683.40833333334,17.0,309.0,0.9449838187702265
2006,523,33895.49815055002,27524.792500000003,8.0,346.0,0.976878612716763
2006,524,39603.9010928667,30521.033750000002,20.0,347.0,0.9423631123919308
2006,525,23152.803211699975,18789.987500000007,20.0,304.0,0.9342105263157895
2006,526,28569.420670108295,23157.390000000007,25.0,318.0,0.9213836477987422
2006,527,35313.33948499164,28692.818750000006,20.0,320.0,0.9375
2006,528,31127.48279719167,22852.687500000004,14.0,303.0,0.9537953795379538
2006,529,31051.70667102499,24553.943125000005,14.0,326.0,0.9570552147239264
2006,530,29054.00869224166,21609.755218750004,15.0,322.0,0.953416149068323
2006,531,25154.380053308323,19297.825,18.0,275.0,0.9345454545454546
2006,532,34539.508890591685,28616.643125000002,20.0,342.0,0.9415204678362573
2006,533,45665.02141971,35548.625000000015,18.0,337.0,0.9465875370919882
2006,534,31390.667598582164,23494.013714285717,17.0,288.0,0.9409722222222222
2006,535,34648.79552059166,27931.062500000004,21.0,349.0,0.9398280802292264
2006,536,27261.812405487515,23137.076500000006,12.0,298.0,0.9597315436241611
2006,537,29030.47990374999,22928.863125,22.0,315.0,0.9301587301587302
2006,538,37438.9448504738,28324.6365625,27.0,352.0,0.9232954545454546
2006,539,34241.855803842845,25696.577500000003,14.0,305.0,0.9540983606557377
2006,540,29042.605865274367,23360.525,16.0,280.0,0.9428571428571428
2006,541,27886.15409131667,22466.731000000003,22.0,305.0,0.9278688524590164
2006,542,31697.98642901669,25887.0165625,20.0,333.0,0.93993993993994
2006,543,32961.19415630998,27423.225,21.0,328.0,0.9359756097560976
