YEAR,dma_code,weight,HINCP
2007,500,0.002,20000.0
2007,500,0.002,118100.0
2007,500,0.002,46000.0
2007,500,0.002,21500.0
2007,500,0.002,45500.0
2007,500,0.002,77100.0
2007,500,0.002,163100.0
2007,500,0.002,40700.0
2007,500,0.002,1103.0
2007,500,0.002,55050.0
2007,500,0.002,42650.0
2007,500,0.002,66100.0
2007,500,0.002,58000.0
2007,500,0.002,61900.0
2007,500,0.002,61300.0
2007,500,0.002,10700.0
2007,500,0.002,14200.0
2007,500,0.002,45000.0
2007,500,0.002,88000.0
2007,500,0.002,44500.0
2007,500,0.002,40200.0
2007,500,0.002,55420.0
2007,500,0.002,79000.0
2007,500,0.002,15500.0
2007,500,0.002,151550.0
2007,500,0.002,14600.0
2007,500,0.002,64000.0
2007,500,0.002,84000.0
2007,500,0.002,45000.0
2007,500,0.002,44000.0
2007,500,0.002,58004.0
2007,500,0.002,100200.0
2007,500,0.002,60000.0
2007,500,0.002,57200.0
2007,500,0.002,146000.0
2007,500,0.002,119000.0
2007,500,0.002,69300.0
2007,500,0.002,100300.0
2007,500,0.002,88300.0
2007,500,0.002,53200.0
2007,500,0.002,69000.0
2007,500,0.002,46700.0
2007,500,0.002,25000.0
2007,500,0.002,79000.0
2007,500,0.002,51180.0
2007,500,0.002,65200.0
2007,500,0.002,58000.0
2007,500,0.002,93100.0
2007,500,0.002,14200.0
2007,500,0.002,75430.0
2007,500,0.002,105000.0
2007,500,0.002,40000.0
2007,500,0.002,91000.0
2007,500,0.002,30500.0
2007,500,0.002,123800.0
2007,500,0.002,117000.0
2007,500,0.002,65000.0
2007,500,0.002,381900.0
2007,500,0.002,42000.0
2007,500,0.002,90000.0
2007,500,0.002,47000.0
2007,500,0.002,33000.0
2007,500,0.002,86000.0
2007,500,0.002,23100.0
2007,500,0.002,74300.0
2007,500,0.002,145000.0
2007,500,0.002,16500.0
2007,500,0.002,80000.0
2007,500,0.002,24000.0
2007,500,0.002,27000.0
2007,500,0.002,50400.0
2007,500,0.002,78020.0
2007,500,0.002,48800.0
2007,500,0.002,43360.0
2007,500,0.002,90500.0
2007,500,0.002,12000.0
2007,500,0.002,54370.0
2007,500,0.002,300000.0
2007,500,0.002,41830.0
2007,500,0.002,79000.0
2007,500,0.002,154000.0
2007,500,0.002,39000.0
2007,500,0.002,19100.0
2007,500,0.002,8900.0
2007,500,0.002,91700.0
2007,500,0.002,40700.0
2007,500,0.002,21200.0
2007,500,0.002,75500.0
2007,500,0.002,114000.0
2007,500,0.002,24000.0
2007,500,0.002,30000.0
2007,500,0.002,32790.0
