,upc,year,month,sales,sales,sales,volume,volume,volume
channel_code,,,,D,F,M,D,F,M
60,2700044105,2006,4,0.0,11766.545001588094,32.54068794044666,0.0,477.16460924999996,1.4458245
61,2700044105,2006,5,0.0,3065.569969481481,19.999407555555553,0.0,130.16672925000003,0.89300925
62,2700044105,2006,6,0.0,1538.4883794972898,25.6628319862001,0.0,66.38035425,1.14815475
63,2700044105,2006,7,6.889262358722358,1165.3607876167073,27.929729778869778,0.42524249999999997,50.859002999999994,1.2332032499999999
64,2700044105,2006,8,0.0,492.17386125551735,12.444358852378617,0.0,21.772416000000003,0.5528152500000001
65,2700044105,2006,9,0.0,407.80728348940363,21.93568743223263,0.0,18.838242749999996,0.9780577500000001
66,2700044105,2006,10,0.8053282953419227,116.89071764122895,8.02106982160555,0.04252425,5.783297999999999,0.340194
67,2700044105,2006,11,1.7636063523573202,61.13476898263026,13.399106799007447,0.12757275,2.84912475,0.5953395
68,2700044105,2006,12,0.0,29.335425371655106,4.778281219028742,0.0,1.3182517500000002,0.21262125
69,2700044105,2007,1,0.9420429215081811,33.30335828195399,3.810991818828551,0.04252425,1.48834875,0.170097
70,2700044105,2007,2,0.0,17.65448704907641,2.843032594754766,0.0,0.8079607500000001,0.12757275
71,2700044105,2007,3,0.0,24.385623563442287,4.695630673185555,0.0,1.23320325,0.21262124999999998
72,2700044105,2007,4,1.8451618396988672,15.254036799783247,0.0,0.0850485,0.55281525,0.0
73,2700044105,2007,5,0.0,12.941887385849416,4.636988636636868,0.0,0.5953395,0.21262124999999998
74,2700044105,2007,6,0.0,12.043251132698511,6.479227509215176,0.0,0.55281525,0.29766975
75,2700044105,2007,7,0.7802017772528913,10.985241023720711,3.703357769360391,0.04252425,0.46776675,0.170097
76,2700044105,2007,8,0.9171186579259994,6.534470437722746,0.0,0.04252425,0.29766974999999996,0.0
77,2700044105,2007,9,3.6583924408844553,12.700441939661374,1.8499825411290711,0.170097,0.5953395,0.0850485
78,2700044105,2007,10,0.0,8.587167170808286,0.0,0.0,0.38271825,0.0
79,2700044105,2007,11,0.7732304200745086,2.041328308996703,0.9175667651550836,0.04252425,0.0850485,0.04252425
80,2700044105,2007,12,0.9078660801005541,0.9697660401074101,0.9181827401016969,0.04252425,0.04252425,0.04252425
81,2700044105,2008,1,0.0,2.053126776577601,3.65456566230813,0.0,0.0850485,0.170097
82,2700044105,2008,2,0.0,1.0235907658732222,1.8219915632543355,0.0,0.04252425,0.0850485
83,2700044105,2008,3,0.0,0.0,0.903166938293807,0.0,0.0,0.04252425
84,2700044105,2008,4,0.0,4.851735940751222,0.0,0.0,0.2551455,0.0
85,2700044105,2008,5,0.0,0.0,1.7804519184607999,0.0,0.0,0.0850485
86,2700044105,2008,6,0.0,4.248279277014831,0.0,0.0,0.170097,0.0
87,2700044105,2008,7,0.0,0.9851021076176102,0.0,0.0,0.04252425,0.0
88,2700044105,2008,10,0.0,1.0005263814048844,0.0,0.0,0.04252425,0.0
89,2700044105,2008,11,0.0,2.0401271036836532,0.5406336824761682,0.0,0.0850485,0.04252425
90,2700044105,2009,3,0.0,3.056104819260116,0.0,0.0,0.12757275,0.0
91,2700044105,2009,10,0.0,2.997053941908714,0.0,0.0,0.12757275,0.0
92,2700044105,2010,2,0.0,0.9897533461597021,0.0,0.0,0.04252425,0.0
93,2700044105,2010,3,0.0,3.942823035321255,0.0,0.0,0.170097,0.0
94,2700044105,2010,4,0.0,3.935986679449014,0.0,0.0,0.170097,0.0
95,3477982722,2006,1,0.0,1692.464245839638,0.0,0.0,75.45502920000001,0.0
96,3477982722,2006,2,0.0,1559.3503179164582,0.0,0.0,68.37899399999998,0.0
97,3477982722,2006,3,0.0,1647.11402027027,0.0,0.0,92.872962,0.0
98,3477982722,2006,4,0.0,1643.2187114143926,0.0,0.0,92.46472920000001,0.0
99,3477982722,2006,5,0.0,1182.0516613333336,0.0,0.0,55.24750559999999,0.0
100,3477982722,2006,6,0.0,1039.02965027107,0.0,0.0,52.79810879999999,0.0
101,3477982722,2006,7,0.0,1251.5883712039301,0.0,0.0,81.8506764,0.0
102,3477982722,2006,8,0.0,664.3438508092203,0.0,0.0,44.973646800000004,0.0
103,3477982722,2006,9,0.0,665.0229757023166,0.0,0.0,37.693495199999994,0.0
104,3477982722,2006,10,0.0,564.2452168483646,0.0,0.0,45.17776319999999,0.0
105,3477982722,2006,11,0.0,636.1887305210919,0.0,0.0,59.26179479999998,0.0
106,3477982722,2006,12,0.0,357.5979762636274,0.0,0.0,25.7867052,0.0
107,3477982722,2007,1,0.0,187.85192257529047,0.0,0.0,10.6140528,0.0
108,3477982722,2007,2,0.0,174.3087774387098,0.0,0.0,16.8736224,0.0
109,3477982722,2007,3,0.0,114.56283644668667,0.0,0.0,14.4242256,0.0
110,3477982722,2007,4,0.0,66.520181095962,0.0,0.0,10.001703600000003,0.0
111,3477982722,2007,5,0.0,39.76348008405907,0.0,0.0,2.7895908,0.0
112,3477982722,2007,6,0.0,14.830462966518201,0.0,0.0,0.680388,0.0
113,3477982722,2007,7,0.0,2.37181340284879,0.0,0.0,0.20411639999999998,0.0
114,3477982722,2007,9,0.0,0.7898801861000528,0.0,0.0,0.0680388,0.0
115,4114901120,2006,1,0.0,864.2893729198186,0.0,0.0,20.4966885,0.0
116,4114901120,2006,2,0.0,906.661156517363,0.0,0.0,20.97863,0.0
117,4114901120,2006,3,0.0,876.5520564564564,0.0,0.0,23.133192,0.0
118,4114901120,2006,4,0.0,1076.6386633250625,0.0,0.0,26.478432999999985,0.0
119,4114901120,2006,5,0.0,794.9256225185184,0.0,0.0,17.775136499999995,0.0
120,4114901120,2006,6,0.0,906.6786403647119,0.0,0.0,20.411639999999995,0.0
121,4114901120,2006,7,0.0,1114.4633006388208,0.0,0.0,29.96542149999999,0.0
122,4114901120,2006,8,0.0,813.4529874938698,0.0,0.0,20.269892499999997,0.0
123,4114901120,2006,9,0.0,1152.7556169048794,0.0,0.0,27.38561699999999,0.0
124,4114901120,2006,10,0.0,930.3152467789894,0.0,0.0,21.772415999999996,0.0
125,4114901120,2006,11,0.0,1062.626595781638,0.0,0.0,30.844255999999998,0.0
126,4114901120,2006,12,0.0,1181.5454617938553,0.0,0.0,27.21552,0.0
127,4114901120,2007,1,0.0,1106.7184472077306,0.0,0.0,25.2594045,0.0
128,4114901120,2007,2,0.0,1066.0626865979686,0.0,0.0,25.231055,0.0
129,4114901120,2007,3,0.0,1255.3478425337958,0.0,0.0,29.398431499999994,0.0
130,4114901120,2007,4,0.0,956.6325428911488,0.0,0.0,22.537852499999996,0.0
131,4114901120,2007,5,0.0,830.7086991041072,0.0,0.0,19.7596015,0.0
132,4114901120,2007,6,0.0,1003.0114585413148,0.0,0.0,23.643483000000003,0.0
133,4114901120,2007,7,0.0,779.213521668371,0.0,0.0,24.890861000000005,0.0
134,4114901120,2007,8,0.0,807.0227317631554,0.0,0.0,19.787951,0.0
135,4114901120,2007,9,0.0,1087.4571530529045,0.0,0.0,27.328918,0.0
136,4114901120,2007,10,0.0,863.4977364838996,0.0,0.0,20.4966885,0.0
137,4114901120,2007,11,0.0,825.8616373342466,0.0,0.0,21.17707649999999,0.0
138,4114901120,2007,12,0.0,1015.6545437924929,0.0,0.0,25.117656999999994,0.0
139,4114901120,2008,1,0.0,892.6071317509948,0.0,0.0,20.0430965,0.0
140,4114901120,2008,2,0.0,996.7624518996846,0.0,0.0,22.48115349999999,0.0
141,4114901120,2008,3,0.0,1018.7723063954141,0.0,0.0,23.133191999999998,0.0
142,4114901120,2008,4,0.0,852.9371957378863,0.0,0.0,19.958047999999998,0.0
143,4114901120,2008,5,0.0,959.0834367960409,0.0,0.0,22.254357499999994,0.0
