,store_code_uc,upc,units,prmult,price,feature,display,year,month,dma_code,sales,module,upc_ver_uc,brand_code_uc,brand_descr,multi,size1_units,size1_amount,conversion,volume,prices,total_sales,market_size,shares
22,3444242,2150000064,1,1.0,1.99,,,2006,1,549,2.174519062027232,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.113398,19.17599130520143,78.44659470499245,1.7860184999999997,0.0634920634920635
23,2067395,2150000064,121,1.0,2.3814084507042224,0.0,0.0,2006,1,557,315.3380456883507,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,13.721157999999999,22.981882847522833,689.5520145234489,66.678024,0.20578231292517007
24,2012741,2150000064,3,1.0,2.39,,,2006,1,559,7.834824962178518,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.340194,23.03046191931227,130.37279863842664,10.886208,0.03125
25,7700289,2150000064,3,1.0,2.7900000000000005,,,2006,1,560,9.146092738275343,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.340194,26.88493253342311,2668.429924357044,153.597591,0.0022148394241417496
26,4711066,2150000064,26,1.0,2.4471428571428575,0.0,0.0,2006,1,564,69.21308411497732,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,2.948348,23.475208528632752,287.53916883509845,27.640762499999997,0.10666666666666669
27,3714691,2150000064,11,1.0,2.5614285714285714,,,2006,1,573,30.038959304084724,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.2473779999999999,24.081681177706137,1343.5686723146746,66.5929755,0.018731375053214133
28,1989525,2150000064,1,1.0,2.55,,,2006,1,588,2.786444024205749,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.113398,24.572250164956607,150.18386928895612,12.417081000000001,0.0091324200913242
29,4272040,2150000064,2,1.0,2.79,0.0,0.0,2006,1,598,6.097395158850228,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.226796,26.88493253342311,59.597120423600614,5.8683464999999995,0.03864734299516909
30,7757664,2150000064,1443,1.0,2.0263167259786496,0.0,0.0,2006,1,602,3143.3164767019607,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,163.63331399999998,19.209514247825847,12537.424587594536,1009.015404,0.1621712744436952
31,2545905,2150000064,3,1.0,2.45,,,2006,1,603,8.031515128593043,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.340194,23.608632511428898,25.536939939485634,1.360776,0.25
32,1354674,2150000064,27,1.0,2.5533333333333337,,,2006,1,604,75.6273689863843,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,3.061746,24.700732518760308,120.35252738275345,8.7599955,0.3495145631067961
33,5110502,2150000064,21,1.0,2.45,0.0,0.0,2006,1,605,56.220605900151305,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,2.381358,23.608632511428898,98.6947546142209,9.4403835,0.2522522522522523
34,4065120,2150000064,95,1.0,2.672830188679244,0.0,0.0,2006,1,609,278.2510220877457,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,10.77281,25.82901045203115,407.4983158850226,27.6407625,0.38974358974358975
35,621707,2150000064,1,1.0,2.23,,,2006,1,610,2.4367726172465964,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.113398,21.488673673667936,99.8093322239032,14.2030995,0.007984031936127744
36,4033043,2150000064,14,1.0,2.7544444444444443,,,2006,1,611,42.11355007564297,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.587572,26.52701740496996,99.20833449319215,5.3580555,0.2962962962962963
37,4279584,2150000064,11,1.0,2.627777777777778,0.0,0.0,2006,1,613,31.60155340393344,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.2473779999999999,25.334384127292164,881.7073798789709,44.22522,0.028205128205128202
38,6140475,2150000064,183,1.0,2.7040259740259738,0.0,1.0,2006,1,616,543.5314204236005,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,20.751834,26.191970330121208,702.4898565809378,44.4803655,0.4665391969407266
39,1019305,2150000064,13,1.0,2.27,0.0,0.0,2006,1,619,31.940297579425113,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.474174,21.666572317396124,56.95273040847202,6.633782999999999,0.22222222222222227
40,4607816,2150000064,24,1.0,2.711111111111111,0.0,0.0,2006,1,624,70.98329561270803,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,2.721552,26.08191782215002,100.57423842662634,7.824462,0.34782608695652173
41,8125087,2150000064,4,1.0,2.585,0.0,0.0,2006,1,631,11.298757337367626,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.453592,24.909516343691305,11.298757337367626,1.7009699999999999,0.26666666666666666
42,3665919,2150000064,64,1.0,2.740263157894736,0.0,0.0,2006,1,637,191.28118683812406,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,7.257472,26.356448476566502,191.28118683812406,13.267565999999999,0.5470085470085471
43,6189881,2150000064,5,1.0,2.75,,,2006,1,638,15.024943267776099,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.56699,26.499485472012026,15.024943267776099,1.5308730000000002,0.37037037037037035
44,7770493,2150000064,30,1.0,2.399545454545454,0.0,0.0,2006,1,640,74.2177561270802,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,3.4019399999999997,21.816303675867356,347.5733785173981,36.230661,0.09389671361502347
45,3396208,2150000064,1,1.0,0.56,,,2006,1,647,0.6119249621785176,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.113398,5.396258859755177,16.94813600605144,3.3168914999999997,0.03418803418803419
46,5073580,2150000064,100,1.0,2.6275438596491236,0.0,0.0,2006,1,652,289.06898124054464,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,11.3398,25.491541406422037,454.7367375189108,31.978236,0.3546099290780142
47,6824058,2150000064,46,1.0,2.0560606060606066,0.0,0.0,2006,1,670,103.06564720121033,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,5.216308,19.75835153928992,170.82540953101363,10.631062499999999,0.4906666666666667
48,8081744,2150000064,10,1.0,2.101111111111111,,,2006,1,671,22.837913767019668,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.13398,20.139608958729138,48.25465416036309,3.4019399999999997,0.33333333333333337
49,4951376,2150000064,6,1.0,2.1799999999999997,0.0,0.0,2006,1,675,15.538523146747353,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.680388,22.837738388606727,166.07206384266271,19.6462035,0.03463203463203463
50,3371652,2150000064,58,1.0,2.450000000000002,0.0,0.0,2006,1,678,155.2759591527988,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,6.577084,23.608632511428894,344.77600726172477,27.895908,0.23577235772357724
