,store_code_uc,upc,units,prmult,price,feature,display,year,month,dma_code,sales,module,upc_ver_uc,brand_code_uc,brand_descr,multi,size1_units,size1_amount,conversion,volume,prices,total_sales,market_size,shares
37,942898,1380055417,689,1,9.990000000000006,0.0,0.0,2012,5,511.0,6489.917788525554,2613,1,,,,,,,,,24296.890838457013,3427.8797925,
38,2711828,1380055417,481,1,9.990000000000004,0.0,0.0,2012,5,512.0,4530.69732406501,2613,1,,,,,,,,,18613.05642151296,1167.2906625,
39,7541706,1380055417,138,1,9.990000000000002,0.0,0.0,2012,5,514.0,1299.8674235363233,2613,1,,,,,,,,,5161.132364467073,0.0,
40,532196,1380055417,126,1,9.989999999999998,0.0,0.0,2012,5,517.0,1186.8354736635993,2613,1,,,,,,,,,3689.491829253966,0.0,
41,4948353,1380055417,243,1,9.990000000000004,0.0,0.0,2012,5,521.0,2288.896984922656,2613,1,,,,,,,,,9811.056332354288,0.0,
42,3885582,1380055417,38,1,9.99,,,2012,5,523.0,357.9345079302918,2613,1,,,,,,,,,1690.5197214281052,0.0,
43,2045484,1380055417,132,1,9.990000000000002,0.0,0.0,2012,5,524.0,1243.3514485999613,2613,1,,,,,,,,,4219.406881535149,0.0,
44,2677247,1380055417,27,1,9.99,,,2012,5,526.0,254.32188721362837,2613,1,,,,,,,,,1384.4339532667582,0.0,
45,6117939,1380055417,527,1,9.990000000000006,0.0,0.0,2012,5,528.0,4963.986465243784,2613,1,,,,,,,,,20602.269764897846,2832.1150500000003,
46,2767655,1380055417,127,1,9.989999999999998,,,2012,5,532.0,1196.2548028196593,2613,1,,,,,,,,,6034.669070165132,0.0,
47,185920,1380055417,402,1,9.990000000000006,0.0,0.0,2012,5,533.0,3786.5703207362453,2613,1,,,,,,,,,17084.10789569872,0.0,
48,1969000,1380055417,269,1,9.990000000000004,0.0,0.0,2012,5,534.0,2533.7995429802227,2613,1,,,,,,,,,11615.843170941844,4532.6598075,
49,97644,1380055417,156,1,9.990000000000002,,,2012,5,538.0,1469.4153483454086,2613,1,,,,,,,,,6095.918281574312,0.0,
50,42660,1380055417,109,1,9.989999999999998,0.0,0.0,2012,5,539.0,1026.706878010574,2613,1,,,,,,,,,6296.335959793743,4977.888705,
51,6530416,1380055417,107,1,9.99,,,2012,5,543.0,1007.8682196984532,2613,1,,,,,,,,,3743.6223284380917,0.0,
52,2089596,1380055417,153,1,9.989999999999998,0.0,0.0,2012,5,544.0,1441.1573608772276,2613,1,,,,,,,,,7530.484940669671,363.5823375,
53,6297220,1380055417,120,1,9.989999999999998,0.0,0.0,2012,5,548.0,1130.3194987272373,2613,1,,,,,,,,,5368.480179753281,1241.2828574999999,
54,3136744,1380055417,12,1,9.99,,,2012,5,549.0,113.03194987272373,2613,1,,,,,,,,,562.7082723059852,0.0,
55,5919948,1380055417,131,1,9.99,0.0,0.0,2012,5,555.0,1233.9321194439008,2613,1,,,,,,,,,5342.400235363228,0.0,
56,6668755,1380055417,76,1,9.99,,,2012,5,556.0,715.8690158605835,2613,1,,,,,,,,,2499.526007962927,25.51455,
57,3331072,1380055417,197,1,9.99,0.0,0.0,2012,5,560.0,1855.607843743881,2613,1,,,,,,,,,6058.165534886757,0.0,
58,8342214,1380055417,105,1,9.989999999999998,,,2012,5,561.0,989.0295613863324,2613,1,,,,,,,,,5652.4837968801,3681.749565,
59,913873,1380055417,116,1,9.989999999999998,,,2012,5,566.0,1092.642182102996,2613,1,,,,,,,,,4395.809513347692,0.0,
60,6391640,1380055417,66,1,9.99,,,2012,5,571.0,621.6757242999805,2613,1,,,,,,,,,2470.287429671693,799.8811425,
61,6665531,1380055417,52,1,9.99,,,2012,5,576.0,489.8051161151361,2613,1,,,,,,,,,2024.3543241302787,21.6873675,
62,2802807,1380055417,30,1,9.99,,,2012,5,577.0,282.57987468180926,2613,1,,,,,,,,,1331.2180436002873,0.0,
63,6595091,2370002084,8,1,7.1925,0.0,0.0,2012,5,501.0,48.237525487892434,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,6.8038799999999995,7.089708443989671,80574.20505450037,51.0291,0.13333333333333333
64,1250614,2370002084,90,1,5.972105263157895,,,2012,5,504.0,440.41728216173874,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,76.54365,5.753805601924376,43691.50643221721,237.28531500000003,0.3225806451612903
65,5954135,2370002084,1014,1,5.790948616600797,0.0,0.0,2012,5,511.0,4894.025081522077,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,862.39179,5.674943961980525,24296.890838457013,3427.8797925,0.2515816896166729
66,3980069,2370002084,418,1,5.864390243902443,0.0,0.0,2012,5,512.0,1990.1279329025533,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,355.50273,5.598066526528652,18613.05642151296,1167.2906625,0.30455373406193076
67,326625,2370002084,73,1,6.859687500000002,0.0,0.0,2012,5,522.0,462.2542854905033,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,62.085405,7.445458163484692,462.2542854905033,533.254095,0.11642743221690591
68,1077989,2370002084,24,1,6.767499999999999,0.0,0.0,2012,5,525.0,154.39591084132888,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,20.41164,7.564111009273575,154.39591084132888,260.24841000000004,0.07843137254901959
69,6026829,2370002084,506,1,6.870094339622649,0.0,0.0,2012,5,528.0,3280.208305724164,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,430.34541,7.622268599830457,20602.269764897846,2832.1150500000003,0.15195195195195194
70,6315006,2370002084,91,1,6.903043478260874,0.0,0.0,2012,5,530.0,592.220284576725,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,77.394135,7.652004697471261,592.220284576725,699.0986700000001,0.11070559610705595
71,4402096,2370002084,367,1,6.788846153846159,0.0,0.0,2012,5,534.0,2341.43402401932,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,312.127995,7.501518804871444,11615.843170941844,4532.6598075,0.06886199455858898
72,6026838,2370002084,428,1,6.801807909604527,0.0,0.0,2012,5,539.0,2743.410260165781,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,364.00758,7.536684428840138,6296.335959793743,4977.888705,0.0731248932171536
73,2432576,2370002084,176,1,5.627317073170734,0.0,0.0,2012,5,544.0,910.9311595848835,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,149.68536,6.0856396349307875,7530.484940669671,363.5823375,0.41169590643274856
74,7303411,2370002084,140,1,6.850921052631584,0.0,0.0,2012,5,548.0,901.9455532928667,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,119.0679,7.575052161773801,5368.480179753281,1241.2828574999999,0.09592326139088729
75,5036867,2370002084,4,1,5.989999999999999,0.0,0.0,2012,5,556.0,22.591303961882385,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,3.4019399999999997,6.640712053088057,2499.526007962927,25.51455,0.13333333333333333
76,339403,2370002084,334,1,6.824367088607602,0.0,0.0,2012,5,561.0,2137.178841328896,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,284.06199,7.5236353914471135,5652.4837968801,3681.749565,0.07715407715407714
77,5850804,2370002084,86,1,6.745250000000003,0.0,0.0,2012,5,571.0,534.9028652176754,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,73.14171,7.313239808280054,2470.287429671693,799.8811425,0.09144072301967039
78,7787144,2370002084,7,1,4.99,,,2012,5,576.0,30.106024019319893,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,5.9533949999999995,5.056950533152914,2024.3543241302787,21.6873675,0.2745098039215686
79,5511270,2370002084,42,1,6.582307692307692,0.0,0.0,2012,5,592.0,263.609213758893,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,35.72037,7.379800762391123,263.609213758893,543.4599149999999,0.06572769953051645
80,4727394,2370002084,653,1,5.583381642512083,0.0,0.0,2012,5,602.0,3193.5580204947387,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,555.366705,5.750359162230906,4508.266308987657,1976.1018975,0.28104153217129335
81,7670064,2370002084,26,1,6.775714285714285,0.0,0.0,2012,5,606.0,167.5867431629789,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,22.11261,7.578786184126563,167.5867431629789,267.90277499999996,0.08253968253968255
82,2687186,2370002084,340,1,5.384945054945061,0.0,0.0,2012,5,618.0,1546.3822991971815,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,289.1649,5.347752438823598,1546.3822991971815,876.4247925,0.3299369238233867
83,4032169,2370002084,236,1,6.789099099099105,0.0,0.0,2012,5,622.0,1512.0333341165735,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,200.71446,7.53325562152609,1512.0333341165735,1911.0397950000001,0.10502892745883399
84,7155827,2370002084,597,1,5.651705882352947,0.0,1.0,2012,5,623.0,2790.959486325954,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,507.739545,5.496832999931006,2790.959486325954,1801.3272299999999,0.28186968838526916
85,6048908,2370002084,122,1,6.861692307692313,0.0,0.0,2012,5,630.0,792.7322503753026,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,103.75917,7.64011749877435,792.7322503753026,1372.6827899999998,0.07558859975216853
86,6683067,2370002084,110,1,5.464444444444444,0.0,0.0,2012,5,635.0,523.5317831734222,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,93.55335,5.596077352370837,523.5317831734222,389.0968875,0.24043715846994534
87,1011802,2370002084,46,1,6.87875,0.0,0.0,2012,5,642.0,297.50559845963073,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,39.12231,7.604499797165115,297.50559845963073,303.62314499999997,0.1288515406162465
88,4927205,2370002084,7,1,7.281666666666667,1.0,0.0,2012,5,652.0,48.02066405587104,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,5.9533949999999995,8.066097421029689,48.02066405587104,149.26011749999998,0.039886039886039885
89,899125,2370002084,47,1,6.832272727272727,0.0,0.0,2012,5,656.0,302.2105486587038,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,39.972795,7.5604057374197575,302.2105486587038,741.1976774999999,0.05393000573723465
90,6179521,2370002084,160,1,6.8233333333333395,0.0,0.0,2012,5,686.0,1031.8832661053464,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,136.0776,7.583050157449473,1031.8832661053464,2168.73675,0.06274509803921569
91,6049311,2370002084,79,1,6.79489361702128,0.0,0.0,2012,5,698.0,501.7984961817115,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,67.188315,7.468538185273905,501.7984961817115,727.164675,0.09239766081871345
92,6160335,2370002084,24,1,6.739999999999999,0.0,0.0,2012,5,710.0,150.63383643365316,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,20.41164,7.379800762391124,150.63383643365316,188.80767,0.1081081081081081
93,6298809,2370002084,13,1,6.800000000000002,0.0,0.0,2012,5,711.0,81.9170487566086,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,11.056305,7.409080045875054,81.9170487566086,135.227115,0.08176100628930817
94,202424,2370002084,62,1,6.862333333333336,0.0,0.0,2012,5,716.0,399.20418131975737,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,52.73007,7.570712144318362,399.20418131975737,482.22499500000004,0.10934744268077601
95,3875402,2370002084,21,1,7.308181818181819,0.0,0.0,2012,5,722.0,144.0619921676131,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,17.860185,8.066097421029687,144.0619921676131,73.99219500000001,0.24137931034482757
96,5019003,2370002084,7,1,7.340000000000001,,,2012,5,740.0,48.02066405587104,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,5.9533949999999995,8.066097421029689,48.02066405587104,19.1359125,0.3111111111111111
97,6206680,2370002084,41,1,6.832105263157893,0.0,0.0,2012,5,746.0,264.5615183082045,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,34.869885,7.587106132073693,264.5615183082045,469.46772,0.07427536231884058
98,997407,2370002084,793,1,5.511466165413538,0.0,0.0,2012,5,751.0,3899.517411787731,2613,1,658185.0,TYSON,1.0,OZ,30.0,0.0283495,674.434605,5.7819058851343055,3899.517411787731,2504.2530825,0.26931567328918327
