store_code_uc,year,parent_code,retailer_code,channel_code,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,dma_code,dma_descr
1228824,2012,248,248,F,327.0,12.0,FL,117.0,SEMINOLE,534.0,ORLANDO-DAYTONA BEACH-MELBOURNE FL
1228852,2012,4901,4901,D,953.0,6.0,CA,109.0,TUOLUMNE,862.0,SACRAMENTO-STOCKTON-MODESTO CA
1229037,2012,257,257,F,301.0,13.0,GA,57.0,CHEROKEE,524.0,ATLANTA GA
1229296,2012,5851,5851,M,76.0,34.0,NJ,3.0,BERGEN,501.0,NEW YORK NY
1229309,2012,4901,4901,D,67.0,9.0,CT,9.0,NEW HAVEN,533.0,HARTFORD & NEW HAVEN CT
1229527,2012,5851,5851,M,490.0,26.0,MI,77.0,KALAMAZOO,563.0,GRAND RAPIDS-KALAMAZOO-BATTLE CREEK MI
1229843,2012,4901,4901,D,132.0,36.0,NY,67.0,ONONDAGA,555.0,SYRACUSE NY
1230115,2012,4901,4901,D,44.0,23.0,ME,21.0,PISCATAQUIS,537.0,BANGOR ME
1230323,2012,6904,6904,M,17.0,25.0,MA,17.0,MIDDLESEX,506.0,BOSTON (MANCHESTER) MA-NH
1230370,2012,4904,4904,D,285.0,37.0,NC,147.0,PITT,545.0,GREENVILLE-NEW BERN-WASHINGTON NC
1230518,2012,4901,4901,D,386.0,28.0,MS,33.0,DE SOTO,640.0,MEMPHIS TN
1230726,2012,6904,6904,M,67.0,9.0,CT,5.0,LITCHFIELD,533.0,HARTFORD & NEW HAVEN CT
1230809,2012,79,79,F,245.0,51.0,VA,3.0,ALBEMARLE,584.0,CHARLOTTESVILLE VA
1230921,2012,4901,4901,D,103.0,36.0,NY,85.0,RICHMOND,501.0,NEW YORK NY
1230975,2012,5851,5851,M,782.0,48.0,TX,29.0,BEXAR,641.0,SAN ANTONIO TX
1231406,2012,111,111,F,201.0,51.0,VA,107.0,LOUDOUN,511.0,WASHINGTON DC (HAGERSTOWN MD)
1231487,2012,858,884,F,937.0,6.0,CA,19.0,FRESNO,866.0,FRESNO-VISALIA CA
1231532,2012,6904,6904,M,197.0,10.0,DE,3.0,NEW CASTLE,504.0,PHILADELPHIA PA
1231935,2012,6904,6904,M,43.0,23.0,ME,11.0,KENNEBEC,500.0,PORTLAND-AUBURN ME
1232374,2012,34,34,F,26.0,25.0,MA,1.0,BARNSTABLE,506.0,BOSTON (MANCHESTER) MA-NH
1232605,2012,32,32,F,981.0,53.0,WA,33.0,KING,819.0,SEATTLE-TACOMA WA
1232664,2012,257,257,F,300.0,13.0,GA,217.0,NEWTON,524.0,ATLANTA GA
1232923,2012,5851,5851,M,481.0,26.0,MI,163.0,WAYNE,505.0,DETROIT MI
1233008,2012,182,182,F,981.0,53.0,WA,33.0,KING,819.0,SEATTLE-TACOMA WA
1233180,2012,8106,8106,C,26.0,25.0,MA,1.0,BARNSTABLE,506.0,BOSTON (MANCHESTER) MA-NH
1233316,2012,843,843,F,44.0,23.0,ME,19.0,PENOBSCOT,537.0,BANGOR ME
1233344,2012,4901,4901,D,292.0,45.0,SC,79.0,RICHLAND,546.0,COLUMBIA SC
1233375,2012,6901,6901,M,295.0,45.0,SC,51.0,HORRY,570.0,FLORENCE-MYRTLE BEACH SC
1233470,2012,5851,5851,M,134.0,36.0,NY,65.0,ONEIDA,526.0,UTICA NY
1233598,2012,4904,4904,D,840.0,49.0,UT,49.0,UTAH,770.0,SALT LAKE CITY UT
1234217,2012,32,32,F,981.0,53.0,WA,33.0,KING,819.0,SEATTLE-TACOMA WA
1234353,2012,6904,6904,M,463.0,18.0,IN,91.0,LA PORTE,602.0,CHICAGO IL
1234389,2012,8106,8106,C,26.0,25.0,MA,1.0,BARNSTABLE,506.0,BOSTON (MANCHESTER) MA-NH
1234584,2012,6901,6901,M,370.0,47.0,TN,125.0,MONTGOMERY,659.0,NASHVILLE TN
