,upc,dma_code,year,month
40041,1380014660,618.0,2012,6
40769,1380014660,506.0,2012,6
41497,1380014660,821.0,2012,6
42225,1380014660,635.0,2012,6
42953,1380014660,514.0,2012,6
43681,1380014660,855.0,2012,6
44409,1380014660,686.0,2012,6
45137,1380014660,523.0,2012,6
45865,1380014660,881.0,2012,6
46593,1380014660,716.0,2012,6
47321,1380014660,532.0,2012,6
48049,1380014660,613.0,2012,6
48777,1380014660,751.0,2012,6
49505,1380014660,539.0,2012,6
50233,1380014660,755.0,2012,6
50961,1380014660,759.0,2012,6
51689,1380014660,549.0,2012,6
52417,1380014660,737.0,2012,6
53145,1380014660,767.0,2012,6
53873,1380014660,561.0,2012,6
54601,1380014660,669.0,2012,6
55329,1380014660,790.0,2012,6
56057,1380014660,577.0,2012,6
56785,1380014660,541.0,2012,6
57513,1380014660,803.0,2012,6
58241,1380014660,592.0,2012,6
58969,1380014660,500.0,2012,6
59697,1380014660,813.0,2012,6
60425,1380014660,622.0,2012,6
61153,1380014660,510.0,2012,6
61881,1380014660,825.0,2012,6
62609,1380014660,642.0,2012,6
63337,1380014660,517.0,2012,6
64065,1380014660,862.0,2012,6
64793,1380014660,698.0,2012,6
65521,1380014660,524.0,2012,6
66249,1380014660,503.0,2012,6
66977,1380014660,722.0,2012,6
67705,1380014660,533.0,2012,6
68433,1380014660,617.0,2012,6
69161,1380014660,752.0,2012,6
69889,1380014660,543.0,2012,6
70617,1380014660,757.0,2012,6
71345,1380014660,762.0,2012,6
72073,1380014660,555.0,2012,6
72801,1380014660,724.0,2012,6
73529,1380014660,771.0,2012,6
74257,1380014660,566.0,2012,6
74985,1380014660,758.0,2012,6
75713,1380014660,800.0,2012,6
76441,1380014660,522.0,2012,6
77169,1380014660,559.0,2012,6
77897,1380014660,807.0,2012,6
78625,1380014660,602.0,2012,6
2,1380014660,504.0,2012,7
730,1380014660,820.0,2012,7
1458,1380014660,630.0,2012,7
2186,1380014660,512.0,2012,7
2914,1380014660,839.0,2012,7
3642,1380014660,656.0,2012,7
4370,1380014660,521.0,2012,7
5098,1380014660,868.0,2012,7
5826,1380014660,711.0,2012,7
6554,1380014660,528.0,2012,7
7282,1380014660,564.0,2012,7
8010,1380014660,746.0,2012,7
8738,1380014660,538.0,2012,7
9466,1380014660,705.0,2012,7
10194,1380014660,754.0,2012,7
10922,1380014660,548.0,2012,7
11650,1380014660,676.0,2012,7
12378,1380014660,766.0,2012,7
13106,1380014660,560.0,2012,7
13834,1380014660,509.0,2012,7
14562,1380014660,789.0,2012,7
15290,1380014660,576.0,2012,7
16018,1380014660,557.0,2012,7
16746,1380014660,802.0,2012,7
17474,1380014660,530.0,2012,7
18202,1380014660,537.0,2012,7
18930,1380014660,811.0,2012,7
19658,1380014660,618.0,2012,7
20386,1380014660,506.0,2012,7
21114,1380014660,821.0,2012,7
21842,1380014660,635.0,2012,7
22570,1380014660,514.0,2012,7
23298,1380014660,855.0,2012,7
24026,1380014660,686.0,2012,7
24754,1380014660,523.0,2012,7
25482,1380014660,881.0,2012,7
26210,1380014660,716.0,2012,7
26938,1380014660,532.0,2012,7
27666,1380014660,613.0,2012,7
28394,1380014660,751.0,2012,7
29122,1380014660,539.0,2012,7
29850,1380014660,755.0,2012,7
30578,1380014660,759.0,2012,7
31306,1380014660,549.0,2012,7
32034,1380014660,737.0,2012,7
32762,1380014660,767.0,2012,7
33490,1380014660,561.0,2012,7
34218,1380014660,669.0,2012,7
34946,1380014660,790.0,2012,7
35674,1380014660,577.0,2012,7
36402,1380014660,541.0,2012,7
37130,1380014660,803.0,2012,7
37858,1380014660,592.0,2012,7
38586,1380014660,500.0,2012,7
39314,1380014660,813.0,2012,7
40042,1380014660,622.0,2012,7
40770,1380014660,510.0,2012,7
41498,1380014660,825.0,2012,7
42226,1380014660,642.0,2012,7
42954,1380014660,517.0,2012,7
43682,1380014660,862.0,2012,7
44410,1380014660,698.0,2012,7
45138,1380014660,524.0,2012,7
45866,1380014660,503.0,2012,7
46594,1380014660,722.0,2012,7
47322,1380014660,533.0,2012,7
48050,1380014660,617.0,2012,7
48778,1380014660,752.0,2012,7
49506,1380014660,543.0,2012,7
50234,1380014660,757.0,2012,7
50962,1380014660,762.0,2012,7
51690,1380014660,555.0,2012,7
52418,1380014660,724.0,2012,7
53146,1380014660,771.0,2012,7
53874,1380014660,566.0,2012,7
54602,1380014660,758.0,2012,7
55330,1380014660,800.0,2012,7
56058,1380014660,522.0,2012,7
56786,1380014660,559.0,2012,7
57514,1380014660,807.0,2012,7
58242,1380014660,602.0,2012,7
58970,1380014660,501.0,2012,7
59698,1380014660,819.0,2012,7
60426,1380014660,623.0,2012,7
61154,1380014660,511.0,2012,7
61882,1380014660,828.0,2012,7
62610,1380014660,652.0,2012,7
63338,1380014660,518.0,2012,7
64066,1380014660,866.0,2012,7
64794,1380014660,710.0,2012,7
65522,1380014660,526.0,2012,7
66250,1380014660,507.0,2012,7
66978,1380014660,740.0,2012,7
67706,1380014660,534.0,2012,7
68434,1380014660,658.0,2012,7
69162,1380014660,753.0,2012,7
69890,1380014660,544.0,2012,7
70618,1380014660,770.0,2012,7
71346,1380014660,764.0,2012,7
72074,1380014660,556.0,2012,7
72802,1380014660,611.0,2012,7
73530,1380014660,773.0,2012,7
74258,1380014660,571.0,2012,7
74986,1380014660,531.0,2012,7
75714,1380014660,801.0,2012,7
76442,1380014660,525.0,2012,7
77170,1380014660,573.0,2012,7
77898,1380014660,810.0,2012,7
78626,1380014660,606.0,2012,7
3,1380014660,506.0,2012,8
731,1380014660,821.0,2012,8
1459,1380014660,635.0,2012,8
2187,1380014660,514.0,2012,8
2915,1380014660,855.0,2012,8
3643,1380014660,686.0,2012,8
