,store_code_uc,channel_code,upc,year,month,sales,dma_code,volume
85,6048908,F,2370002084,2012,5,792.7322503753026,630.0,103.75917
86,6683067,F,2370002084,2012,5,523.5317831734222,635.0,93.55335
87,1011802,F,2370002084,2012,5,297.50559845963073,642.0,39.12231
88,4927205,F,2370002084,2012,5,48.02066405587104,652.0,5.9533949999999995
89,899125,F,2370002084,2012,5,302.2105486587038,656.0,39.972795
90,6179521,F,2370002084,2012,5,1031.8832661053464,686.0,136.0776
91,6049311,F,2370002084,2012,5,501.7984961817115,698.0,67.188315
92,6160335,F,2370002084,2012,5,150.63383643365316,710.0,20.41164
93,6298809,F,2370002084,2012,5,81.9170487566086,711.0,11.056305
94,202424,F,2370002084,2012,5,399.20418131975737,716.0,52.73007
95,3875402,F,2370002084,2012,5,144.0619921676131,722.0,17.860185
96,5019003,F,2370002084,2012,5,48.02066405587104,740.0,5.9533949999999995
97,6206680,F,2370002084,2012,5,264.5615183082045,746.0,34.869885
98,997407,F,2370002084,2012,5,3899.517411787731,751.0,674.434605
99,5604150,F,2370002084,2012,5,1661.5545771163775,752.0,301.922175
100,274108,F,2370002084,2012,5,3729.290616408839,753.0,693.145275
101,5892585,F,2370002084,2012,5,220.22749859669736,754.0,36.570855
102,2701703,F,2370002084,2012,5,156.2250898766399,759.0,25.51455
103,7681497,F,2370002084,2012,5,211.74161647412052,762.0,34.0194
104,7266407,F,2370002084,2012,5,265.4006777625482,764.0,47.627159999999996
105,7600494,F,2370002084,2012,5,80.01243965798578,766.0,13.607759999999999
106,2744421,F,2370002084,2012,5,351.12694471640225,767.0,56.13201
107,5707948,F,2370002084,2012,5,22.60073271979636,771.0,2.551455
108,6257114,F,2370002084,2012,5,92.67526153645323,773.0,15.30873
109,467453,F,2370002084,2012,5,1196.4810930095955,789.0,220.275615
110,4279851,F,2370002084,2012,5,300.1927944651133,790.0,53.580555
111,1301686,F,2370002084,2012,5,145.8251698975263,800.0,28.91649
112,6635110,F,2370002084,2012,5,391.972323999739,801.0,71.44074
113,59472,F,2370002084,2012,5,165.66327654852813,802.0,25.51455
114,4589469,F,2370002084,2012,5,4390.548266431676,803.0,807.96075
115,1015542,F,2370002084,2012,5,6921.27403433193,807.0,1222.146945
116,326901,F,2370002084,2012,5,598.0472569675611,810.0,104.609655
117,606094,F,2370002084,2012,5,303.615433587886,811.0,50.178615
118,898115,F,2370002084,2012,5,127.96710240845898,813.0,23.813579999999998
119,3535397,F,2370002084,2012,5,6507.7192834671105,819.0,1120.088745
120,5738349,F,2370002084,2012,5,1691.4814547353328,820.0,300.221205
121,938012,F,2370002084,2012,5,184.53964989230468,821.0,24.664065
122,6005497,F,2370002084,2012,5,1744.150496442793,825.0,307.87557
123,4333442,F,2370002084,2012,5,571.986170093336,828.0,98.65626
124,7682304,F,2370002084,2012,5,409.3495248351936,839.0,72.291225
125,6955368,F,2370002084,2012,5,380.8746759349913,855.0,68.0388
126,7223518,F,2370002084,2012,5,2704.1866272436523,862.0,485.626935
127,6629572,F,2370002084,2012,5,190.98892030546315,866.0,37.42134
128,371797,F,2370002084,2012,5,290.773465309053,868.0,50.178615
129,3049089,F,2370002084,2012,5,1092.6798971346525,881.0,181.153305
130,366762,F,2580002770,2012,5,1066.3830913125776,500.0,
131,5696405,F,2580002770,2012,5,33573.412027152284,501.0,
132,876154,F,2580002770,2012,5,16165.237721950258,504.0,
133,938062,F,2580002770,2012,5,16610.152521636966,506.0,
134,6829637,F,2580002770,2012,5,2747.172334573461,510.0,
135,942898,F,2580002770,2012,5,7238.693169505908,511.0,
136,2711828,F,2580002770,2012,5,6581.914179492201,512.0,
137,7541706,F,2580002770,2012,5,1977.3991097186874,514.0,
138,26549,F,2580002770,2012,5,1588.9814274525163,517.0,
139,3375186,F,2580002770,2012,5,734.4625264669409,518.0,
140,4948353,F,2580002770,2012,5,4583.328650740816,521.0,
