,store_code_uc,parent_code,channel_code,upc,year,month,sales,dma_code,volume
0,1705899,34.0,F,1600042940,2013,11,7120.727771990268,500.0,1152.8891165
1,69593,212.0,F,1600042940,2013,11,26210.12831946767,501.0,3390.0615595
2,6008092,6901.0,M,1600042940,2013,11,115.53528564502356,502.0,19.6462035
3,7483905,130.0,F,1600042940,2013,11,207.46518863512512,503.0,32.7436725
4,926538,2.0,F,1600042940,2013,11,16017.21438307967,504.0,2425.8383655
5,1533814,130.0,F,1600042940,2013,11,4348.61538883336,505.0,594.375617
6,561493,6901.0,M,1600042940,2013,11,26252.430206462497,506.0,4390.77056
7,5069636,,,1600042940,2013,11,603.661873093376,507.0,95.1125725
8,2071013,6901.0,M,1600042940,2013,11,1739.3327306934864,508.0,287.520629
9,2032243,130.0,F,1600042940,2013,11,552.2952960282149,509.0,82.6387925
10,1225315,6901.0,M,1600042940,2013,11,1081.050289227654,510.0,176.503987
11,620055,839.0,F,1600042940,2013,11,18960.300766639935,511.0,2682.7982335
12,1465965,6901.0,M,1600042940,2013,11,7357.032620726036,512.0,1048.1093645
13,8318804,130.0,F,1600042940,2013,11,712.2243202227672,513.0,95.7362615
14,1471204,6901.0,M,1600042940,2013,11,670.0061072901157,514.0,113.82324249999999
15,823714,130.0,F,1600042940,2013,11,2812.7686802620656,515.0,478.369463
16,568747,6901.0,M,1600042940,2013,11,62.59749563434005,516.0,10.602713
17,5276597,111.0,F,1600042940,2013,11,3140.334039490448,517.0,474.00364
18,6402108,79.0,F,1600042940,2013,11,1511.5254478287588,518.0,233.883375
19,757622,,,1600042940,2013,11,566.4455096559391,519.0,86.3809265
20,8090053,130.0,F,1600042940,2013,11,338.3035305424574,520.0,53.9490985
21,4845025,6901.0,M,1600042940,2013,11,3087.6565687843517,521.0,517.038181
22,7220470,6901.0,M,1600042940,2013,11,183.92488580634915,522.0,26.818627
23,5917281,843.0,F,1600042940,2013,11,3575.7738591146813,523.0,552.2766095
24,4619716,130.0,F,1600042940,2013,11,3253.238240735588,524.0,511.7368245
25,3974445,,,1600042940,2013,11,111.20282864731047,525.0,18.71067
26,6773176,843.0,F,1600042940,2013,11,494.02096027356697,526.0,76.4019025
27,2480180,130.0,F,1600042940,2013,11,2456.326472460938,527.0,375.7726225
28,7039645,,,1600042940,2013,11,1729.1151979885808,528.0,267.562581
29,1477113,130.0,F,1600042940,2013,11,1177.5822656380724,529.0,176.503987
30,4857169,,,1600042940,2013,11,226.31044686337515,530.0,33.9910505
31,1062707,47.0,F,1600042940,2013,11,562.6336912673933,531.0,86.3809265
32,4211867,843.0,F,1600042940,2013,11,2154.3746733799867,532.0,337.7275935
33,774195,6901.0,M,1600042940,2013,11,2281.642921967314,533.0,343.652639
34,5565566,,,1600042940,2013,11,2490.0099310504597,534.0,374.837089
35,1396314,130.0,F,1600042940,2013,11,2282.0148066881497,535.0,327.436725
36,3207355,6901.0,M,1600042940,2013,11,245.52758981245896,536.0,39.6042515
37,8231873,843.0,F,1600042940,2013,11,1467.326948757665,537.0,228.893863
38,6511820,6901.0,M,1600042940,2013,11,268.3706087896717,538.0,45.2174525
39,4616732,,,1600042940,2013,11,2751.435592678555,539.0,416.624252
40,2876895,6901.0,M,1600042940,2013,11,13.043856583243588,540.0,2.1829115
41,6207337,130.0,F,1600042940,2013,11,664.8555039065686,541.0,99.166551
42,1265334,,,1600042940,2013,11,1262.1767425097307,542.0,210.806882
43,4538193,6901.0,M,1600042940,2013,11,110.39397937949704,543.0,18.71067
44,6882833,79.0,F,1600042940,2013,11,3220.61465360043,544.0,518.285559
45,602621,79.0,F,1600042940,2013,11,691.3058046758689,545.0,109.76926399999999
46,1352469,79.0,F,1600042940,2013,11,519.2905270542203,546.0,82.6387925
47,6020639,130.0,F,1600042940,2013,11,782.4733439882601,547.0,112.26402
48,2849088,6901.0,M,1600042940,2013,11,989.9664239774494,548.0,153.1156495
49,5896996,6901.0,M,1600042940,2013,11,207.37221745491678,549.0,33.3673615
50,4223839,79.0,F,1600042940,2013,11,542.2358143296623,550.0,82.6387925
51,3624496,130.0,F,1600042940,2013,11,292.189825159073,551.0,39.292407
52,8111295,,,1600042940,2013,11,62.643981224444275,553.0,13.097469
53,214994,130.0,F,1600042940,2013,11,337.03912249162255,554.0,52.0780315
54,3841533,6901.0,M,1600042940,2013,11,300.71528238418665,555.0,51.142497999999996
55,4163815,130.0,F,1600042940,2013,11,2104.895411273059,556.0,348.018462
56,4825966,79.0,F,1600042940,2013,11,1666.5827821803894,557.0,258.5190905
57,2824293,130.0,F,1600042940,2013,11,53.39334879370487,558.0,9.0434905
58,3323908,130.0,F,1600042940,2013,11,139.78216944338368,559.0,20.2698925
59,8062853,111.0,F,1600042940,2013,11,3482.533062483637,560.0,527.017205
60,7568667,6901.0,M,1600042940,2013,11,1036.7774132123973,561.0,152.4919605
61,3174604,6901.0,M,1600042940,2013,11,290.1537563125084,563.0,48.9595865
62,3459479,47.0,F,1600042940,2013,11,959.23944891856,564.0,138.7708025
63,97835,6901.0,M,1600042940,2013,11,66.80909009778219,565.0,11.5382465
64,1598167,839.0,F,1600042940,2013,11,5338.71197246309,566.0,898.4240045
65,2779976,79.0,F,1600042940,2013,11,708.152182529637,567.0,110.7047975
66,1011571,79.0,F,1600042940,2013,11,431.00509432828903,569.0,73.595302
67,4682018,79.0,F,1600042940,2013,11,496.0849204741944,570.0,78.584814
68,2362667,,,1600042940,2013,11,940.4127849263526,571.0,151.8682715
69,2055024,79.0,F,1600042940,2013,11,2049.5124792228944,573.0,314.339256
70,2396384,839.0,F,1600042940,2013,11,1036.535688143855,574.0,174.63291999999998
71,7380701,79.0,F,1600042940,2013,11,267.6826220561294,575.0,42.410852
72,2059086,2.0,F,1600042940,2013,11,1033.7186613835393,576.0,153.427494
73,8290049,,,1600042940,2013,11,1256.4590149269106,577.0,212.05426
74,4375050,130.0,F,1600042940,2013,11,159.61292218184315,581.0,23.700181999999998
75,7156470,6901.0,M,1600042940,2013,11,207.0933039142915,582.0,32.431828
76,2623195,130.0,F,1600042940,2013,11,556.246571187073,584.0,86.069082
77,5310110,6901.0,M,1600042940,2013,11,262.08575700758144,588.0,40.8516295
78,5511270,,,1600042940,2013,11,180.15955300790756,592.0,26.5067825
79,3635785,130.0,F,1600042940,2013,11,127.80748143253714,596.0,18.086981
80,6324347,130.0,F,1600042940,2013,11,179.9829077655115,597.0,25.2594045
81,56135,79.0,F,1600042940,2013,11,319.84875127108273,598.0,47.7122085
82,2754383,6901.0,M,1600042940,2013,11,10.821845376261967,600.0,1.871067
83,109367,995.0,F,1600042940,2013,11,13518.539538033852,602.0,1913.1660075
84,4881168,6901.0,M,1600042940,2013,11,79.99240345133846,603.0,12.785624499999999
85,344873,117.0,F,1600042940,2013,11,309.93802346086346,604.0,47.7122085
86,3100836,126.0,F,1600042940,2013,11,569.234645062192,605.0,85.445393
87,5824859,6901.0,M,1600042940,2013,11,12.030470718971637,606.0,1.871067
88,2664524,6901.0,M,1600042940,2013,11,2073.3409927103125,609.0,326.5011915
89,621707,221.0,F,1600042940,2013,11,125.8829780022225,610.0,22.1409595
90,4033043,117.0,F,1600042940,2013,11,684.6118797008612,611.0,109.145575
91,1310692,36.0,F,1600042940,2013,11,702.3042952945265,612.0,114.135087
92,6503357,6901.0,M,1600042940,2013,11,8492.647695618025,613.0,1441.0334344999999
93,3165439,117.0,F,1600042940,2013,11,1919.919951130353,616.0,308.726055
94,1504766,174.0,F,1600042940,2013,11,4942.041134985771,617.0,822.9576355
95,240985,,,1600042940,2013,11,5825.388209500192,618.0,951.749414
96,1019305,,,1600042940,2013,11,367.9520399109277,619.0,59.250455
97,1013414,,,1600042940,2013,11,497.674727655759,622.0,71.4123905
98,96349,72.0,F,1600042940,2013,11,9446.299576606067,623.0,1558.9106555
99,1288912,117.0,F,1600042940,2013,11,334.3522553835988,624.0,54.260943
100,3387940,36.0,F,1600042940,2013,11,280.9775008259357,625.0,46.776675
101,5811781,6901.0,M,1600042940,2013,11,32.94898626586976,626.0,5.613201
102,7551165,36.0,F,1600042940,2013,11,40.72137693129503,627.0,6.8605789999999995
103,1319364,36.0,F,1600042940,2013,11,179.4343778022818,628.0,28.689694
104,597763,6901.0,M,1600042940,2013,11,416.7805037563985,630.0,62.3689
105,8125087,117.0,F,1600042940,2013,11,121.79224607305133,631.0,18.3988255
106,6199277,130.0,F,1600042940,2013,11,450.463962345915,632.0,71.4123905
107,5387966,6901.0,M,1600042940,2013,11,19.254331421167123,633.0,3.4302894999999998
108,4194474,6901.0,M,1600042940,2013,11,7.30753476438308,634.0,1.2473779999999999
109,1346414,185.0,F,1600042940,2013,11,783.3193817281583,635.0,133.7812905
110,2894627,6901.0,M,1600042940,2013,11,108.13477970043206,636.0,18.3988255
111,2459953,117.0,F,1600042940,2013,11,1009.6298285915335,637.0,162.15914
112,6189881,117.0,F,1600042940,2013,11,47.47108461442749,638.0,7.484268
113,5008924,130.0,F,1600042940,2013,11,33.302276750661825,639.0,5.613201
114,4393461,130.0,F,1600042940,2013,11,1037.4096172378147,640.0,175.880298
115,2546838,6901.0,M,1600042940,2013,11,513.8610101300474,641.0,87.940149
116,915485,36.0,F,1600042940,2013,11,216.80879224607307,642.0,34.302895
117,5500615,,,1600042940,2013,11,100.10206973042315,643.0,16.215914
118,6088017,36.0,F,1600042940,2013,11,33.74853841566232,644.0,5.3013565
119,1683064,130.0,F,1600042940,2013,11,16.651138375330913,647.0,2.8066005
120,1322397,130.0,F,1600042940,2013,11,303.4486350823147,648.0,46.776675
121,7227307,130.0,F,1600042940,2013,11,230.14085948796284,649.0,37.7331845
122,3952566,6901.0,M,1600042940,2013,11,412.2621043982684,650.0,70.476857
123,2471477,6901.0,M,1600042940,2013,11,46.18808232755107,651.0,7.7961125
124,5073580,328.0,F,1600042940,2013,11,1430.7613835816853,652.0,220.4740615
125,6485222,6901.0,M,1600042940,2013,11,38.127481003479666,656.0,5.9250454999999995
126,1186922,6901.0,M,1600042940,2013,11,21.931901411170085,657.0,3.742134
127,698160,315.0,F,1600042940,2013,11,1854.9423932826778,658.0,285.9614065
128,634295,130.0,F,1600042940,2013,11,1997.5322923683523,659.0,302.8010095
129,4207773,6901.0,M,1600042940,2013,11,9.176255486572646,661.0,1.5592225
130,7630959,36.0,F,1600042940,2013,11,58.46027811506464,662.0,9.355335
131,2803568,315.0,F,1600042940,2013,11,2261.0498055511466,669.0,317.457701
132,8098987,265.0,F,1600042940,2013,11,359.46377115789744,670.0,51.4543425
133,4885446,265.0,F,1600042940,2013,11,392.422054541788,671.0,64.863656
134,7718293,130.0,F,1600042940,2013,11,85.21738377905255,673.0,14.344847
135,2245240,117.0,F,1600042940,2013,11,508.3292249076457,675.0,76.4019025
136,4931226,221.0,F,1600042940,2013,11,197.48008388073922,676.0,34.302895
137,6363793,126.0,F,1600042940,2013,11,1550.368806919837,678.0,237.625509
138,4333373,117.0,F,1600042940,2013,11,1238.0972068357441,679.0,192.719901
139,406465,117.0,F,1600042940,2013,11,861.1083682085565,682.0,129.103623
140,6160829,,,1600042940,2013,11,442.39406390382265,686.0,65.1755005
141,7502565,9.0,F,1600042940,2013,11,127.18457452514065,687.0,19.6462035
142,5650165,6901.0,M,1600042940,2013,11,233.81322110619595,691.0,37.42134
143,2537166,6901.0,M,1600042940,2013,11,162.01157863122083,692.0,26.194938
144,5014280,130.0,F,1600042940,2013,11,839.7249967606164,693.0,137.835269
145,8195535,,,1600042940,2013,11,79.16495994748335,698.0,10.914557499999999
146,6867840,117.0,F,1600042940,2013,11,236.10031213932353,702.0,38.668718
147,2845982,315.0,F,1600042940,2013,11,633.8124268349716,705.0,99.4783955
148,2819506,36.0,F,1600042940,2013,11,748.687617100515,709.0,120.995666
149,4212637,6901.0,M,1600042940,2013,11,54.70424243464382,710.0,8.107957
150,6298809,,,1600042940,2013,11,20.834841484710537,711.0,2.8066005
151,559559,,,1600042940,2013,11,152.8818087347524,716.0,23.3883375
152,7927527,117.0,F,1600042940,2013,11,193.93788191479777,717.0,29.0015385
153,6048704,130.0,F,1600042940,2013,11,304.2202958780448,718.0,50.8306535
154,871988,117.0,F,1600042940,2013,11,504.2291958604534,722.0,77.961125
155,8135076,903.0,F,1600042940,2013,11,775.1100265157528,724.0,121.30751049999999
156,8011799,117.0,F,1600042940,2013,11,910.2994196568399,725.0,141.8892475
157,5410959,,,1600042940,2013,11,82.71645903144561,734.0,13.097469
158,3684679,130.0,F,1600042940,2013,11,101.21772389292443,736.0,14.968536
159,3652045,221.0,F,1600042940,2013,11,311.3418882820109,737.0,50.518809
160,5019003,,,1600042940,2013,11,31.600904152847445,740.0,4.0539785
161,6206680,,,1600042940,2013,11,78.87674928883722,746.0,10.914557499999999
162,5976079,6901.0,M,1600042940,2013,11,16.641841257310066,749.0,2.8066005
163,2095591,129.0,F,1600042940,2013,11,13737.244942356125,751.0,1795.9124755
164,2563877,32.0,F,1600042940,2013,11,2065.0851519078037,752.0,266.315203
165,274108,32.0,F,1600042940,2013,11,5098.688276518963,753.0,711.00546
166,7622256,32.0,F,1600042940,2013,11,407.6972194500343,754.0,54.884631999999996
167,3976080,210.0,F,1600042940,2013,11,296.41071674053626,755.0,37.42134
168,5057152,9.0,F,1600042940,2013,11,337.48538415662324,756.0,51.766187
169,2963653,9.0,F,1600042940,2013,11,1735.3349699445248,757.0,226.7109515
170,8051578,9.0,F,1600042940,2013,11,261.0909653793512,758.0,33.3673615
171,2702509,9.0,F,1600042940,2013,11,327.1655831534868,759.0,41.163474
172,2845977,,,1600042940,2013,11,182.80923164384797,760.0,24.0120265
173,4636470,9.0,F,1600042940,2013,11,582.1948275832481,762.0,80.455881
174,7262780,295.0,F,1600042940,2013,11,385.1795996035509,764.0,53.637254
175,6886066,6901.0,M,1600042940,2013,11,242.58970051787236,765.0,40.539785
176,289146,9.0,F,1600042940,2013,11,110.8681323985601,766.0,14.0330025
177,2339936,,,1600042940,2013,11,394.5046089784572,767.0,56.4438545
178,6428575,210.0,F,1600042940,2013,11,3518.726742938786,770.0,496.14459949999997
179,39046,9.0,F,1600042940,2013,11,189.0754891898966,771.0,25.2594045
180,2657673,6901.0,M,1600042940,2013,11,541.9104151989326,773.0,68.29394549999999
181,7050132,32.0,F,1600042940,2013,11,1557.1185146029727,789.0,222.033284
182,5231008,125.0,F,1600042940,2013,11,1827.711134599625,790.0,251.0348225
183,7519491,9.0,F,1600042940,2013,11,20.751167422522943,798.0,2.4947559999999998
184,1273435,9.0,F,1600042940,2013,11,2098.145703589925,800.0,228.5820185
185,1181234,9.0,F,1600042940,2013,11,1061.7773635704457,801.0,137.5234245
186,555155,32.0,F,1600042940,2013,11,333.16222427693083,802.0,40.539785
187,1811517,236.0,F,1600042940,2013,11,41167.61070494152,803.0,4352.725531
188,4057119,32.0,F,1600042940,2013,11,22630.802961268964,807.0,2664.0875634999998
189,6657628,32.0,F,1600042940,2013,11,1254.3299749001378,810.0,172.4500085
190,6764713,210.0,F,1600042940,2013,11,851.9321127219838,811.0,102.5968405
191,2158355,158.0,F,1600042940,2013,11,601.8675293153533,813.0,77.337436
192,1152005,182.0,F,1600042940,2013,11,12880.896698574199,819.0,1758.80298
193,2823323,,,1600042940,2013,11,6060.475135775213,820.0,789.2784295
194,1700670,32.0,F,1600042940,2013,11,575.5566853163656,821.0,76.090058
195,5116602,993.0,F,1600042940,2013,11,9092.878932161711,825.0,965.7824165
196,6529651,199.0,F,1600042940,2013,11,2385.17562824743,828.0,280.9718945
197,1353447,236.0,F,1600042940,2013,11,3776.0895639917785,839.0,508.930224
198,6267615,184.0,F,1600042940,2013,11,3014.423170134164,855.0,289.391696
199,1156063,858.0,F,1600042940,2013,11,9169.886960728341,862.0,1131.0600015
200,6147313,858.0,F,1600042940,2013,11,3597.082853618453,866.0,466.8312165
201,5910226,199.0,F,1600042940,2013,11,1145.1725122174123,868.0,135.6523575
202,8079349,9.0,F,1600042940,2013,11,1476.4009359460085,881.0,205.81737
203,230096,59.0,F,3997800389,2013,11,175.6039651776942,500.0,26.761928
204,1090115,34.0,F,3997800389,2013,11,5789.15734057296,506.0,923.966904
205,3885201,34.0,F,3997800389,2013,11,193.23130094521366,521.0,29.029888
206,4708254,34.0,F,3997800389,2013,11,183.72034920989066,523.0,24.040376
207,4393565,34.0,F,3997800389,2013,11,25.966850632216214,532.0,3.175144
208,5162431,34.0,F,3997800389,2013,11,40.80505099348262,537.0,4.9895119999999995
209,3371548,,,3997800389,2013,11,46.60645263848903,602.0,5.896696
210,1354674,117.0,F,3997800389,2013,11,12.616189154284783,604.0,1.814368
211,1616457,117.0,F,3997800389,2013,11,11.686477352200422,605.0,1.360776
212,621707,221.0,F,3997800389,2013,11,14.838200361266408,610.0,1.814368
213,4191925,117.0,F,3997800389,2013,11,27.26844715513432,611.0,3.175144
214,3157297,221.0,F,3997800389,2013,11,211.79764563283834,613.0,25.854744
215,3350792,117.0,F,3997800389,2013,11,79.48106196019206,616.0,9.525432
216,406285,117.0,F,3997800389,2013,11,15.21008508210015,619.0,1.814368
217,1086116,36.0,F,3997800389,2013,11,34.66895309972583,623.0,4.9895119999999995
218,4674511,117.0,F,3997800389,2013,11,30.020394089304027,624.0,3.628736
219,5092349,117.0,F,3997800389,2013,11,17.618038649498647,637.0,2.26796
220,6189881,117.0,F,3997800389,2013,11,15.581969802933898,638.0,1.814368
221,4871543,117.0,F,3997800389,2013,11,38.03450982327123,652.0,4.082328
222,18963,36.0,F,3997800389,2013,11,6.30344601813197,657.0,0.907184
223,6914293,117.0,F,3997800389,2013,11,22.73145356096264,669.0,2.26796
224,8223697,117.0,F,3997800389,2013,11,14.838200361266408,675.0,1.814368
225,5827670,117.0,F,3997800389,2013,11,83.66476506957167,679.0,9.07184
226,4851631,117.0,F,3997800389,2013,11,34.29706837889209,682.0,4.082328
227,6867840,117.0,F,3997800389,2013,11,3.8954924507334745,702.0,0.453592
228,7117134,36.0,F,3997800389,2013,11,6.30344601813197,709.0,0.907184
229,2311546,117.0,F,3997800389,2013,11,49.99990071609695,722.0,6.350288
230,3970918,,,3997800389,2013,11,4.174405991358783,724.0,0.453592
231,1211382,117.0,F,3997800389,2013,11,85.69153679811558,725.0,9.979023999999999
232,3403177,117.0,F,3997800389,2013,11,19.477462253667372,737.0,2.26796
233,3956378,869.0,F,3997800389,2013,11,280.884529645727,753.0,30.844256
234,6507599,869.0,F,3997800389,2013,11,41.9300022740047,789.0,4.53592
235,2827444,117.0,F,4144900135,2013,11,33.64627011743304,602.0,6.23689
236,344873,117.0,F,4144900135,2013,11,34.88278681420523,604.0,6.23689
237,1616457,117.0,F,4144900135,2013,11,30.587518288575485,605.0,5.6699
238,6834794,,,4144900135,2013,11,101.77555097417503,611.0,18.71067
239,6655441,117.0,F,4144900135,2013,11,15.293759144287746,613.0,2.83495
240,3055684,117.0,F,4144900135,2013,11,294.0120602911584,616.0,53.86405
241,276499,174.0,F,4144900135,2013,11,4.444022413963247,617.0,1.13398
242,406285,117.0,F,4144900135,2013,11,30.58751828857549,619.0,5.6699
243,4797829,117.0,F,4144900135,2013,11,91.53942403322623,624.0,17.0097
244,8125087,117.0,F,4144900135,2013,11,6.30344601813197,631.0,1.13398
245,3512023,117.0,F,4144900135,2013,11,256.80499397174225,637.0,47.06017
246,6189881,117.0,F,4144900135,2013,11,12.235007315430195,638.0,2.26796
247,5974525,,,4144900135,2013,11,209.39898918346063,652.0,37.98833
248,2324708,174.0,F,4144900135,2013,11,16.679029729393445,658.0,3.4019399999999997
249,4538070,117.0,F,4144900135,2013,11,47.26654801796893,669.0,9.07184
250,2245240,117.0,F,4144900135,2013,11,21.38337144794031,675.0,3.96893
251,4333373,117.0,F,4144900135,2013,11,190.30270876864785,679.0,34.58639
252,4885886,117.0,F,4144900135,2013,11,194.68165135646527,682.0,35.15338
253,4471593,9.0,F,4144900135,2013,11,80.60601324071413,687.0,17.0097
254,6867840,117.0,F,4144900135,2013,11,42.69236595171387,702.0,7.93786
255,1842317,117.0,F,4144900135,2013,11,15.628455393038116,717.0,2.83495
256,871988,117.0,F,4144900135,2013,11,189.13127189802157,722.0,33.45241
257,1211382,117.0,F,4144900135,2013,11,410.9326165212876,725.0,75.97666
