,upc,dma_code,year,month,prices,shares,sales,volume
2091,947582804468,657,2006,4,11.341841950902026,0.07009345794392523,28.93819935483872,2.551455
2092,947582804468,662,2006,4,11.32515161492076,0.4844961240310078,80.26559642679901,7.087375
2093,947582804468,709,2006,4,11.341841950902019,0.08533333333333333,77.16853161290324,6.80388
2094,947582804468,716,2006,4,11.317103310613591,0.1928721174004193,147.58374133995042,13.04077
2095,947582804468,807,2006,4,15.119394040649473,0.3148206667720019,10248.477819007428,677.836545
2096,947582804468,811,2006,4,15.107768792247374,0.288922533434267,980.8017132506208,64.920355
2097,947582804468,819,2006,4,11.341841950902019,0.002263467632412857,19.29213290322581,1.70097
2098,947582804468,828,2006,4,15.123720353928551,0.17050298380221654,514.4998922084369,34.0194
2099,947582804468,862,2006,4,15.118757368559663,0.19408676618957235,4864.7145564267985,321.766825
2100,947582804468,866,2006,4,15.131035923270991,0.04463929852530889,720.6482688833751,47.62716
2101,947582804468,868,2006,4,15.125616983017325,0.1076868579525328,325.8907957816378,21.54562
2102,947582845316,503,2006,4,7.064943355704017,0.2388888888888889,68.89893841191066,9.752228
2103,947582845316,504,2006,4,7.064943355704018,0.009319354301880512,22.43221250620348,3.175144
2104,947582845316,507,2006,4,7.0144184004701335,0.4049792531120332,291.1240925062034,41.503668
2105,947582845316,508,2006,4,7.064943355704018,0.05438213158533625,44.86442501240696,6.350288
2106,947582845316,511,2006,4,7.064943355704043,0.3920044667783361,1757.7240799503784,248.79521200000002
2107,947582845316,512,2006,4,7.064943355704019,0.24215021351419244,386.15451528536005,54.657836
2108,947582845316,515,2006,4,7.064943355704018,0.03894440174224955,30.44371697270472,4.309124
2109,947582845316,517,2006,4,7.0620644408758775,0.4533209475150952,2637.9142015384627,373.533012
2110,947582845316,518,2006,4,7.064943355704041,0.4614322475365594,1472.5145209429331,208.425524
2111,947582845316,519,2006,4,7.064943355704018,0.4184988627748295,331.67628491315133,46.946771999999996
2112,947582845316,520,2006,4,7.064943355704014,0.2958721068957289,248.35663846153838,35.15338
2113,947582845316,524,2006,4,7.064943355704018,0.1079835390946502,262.77734650124074,37.194544
2114,947582845316,529,2006,4,7.064943355704018,0.03777148253068933,24.03451339950373,3.40194
2115,947582845316,531,2006,4,6.858788019967103,0.34848484848484845,214.66530491315135,31.297848
2116,947582845316,534,2006,4,7.064943355704017,0.19097382306234312,373.3361081389578,52.84346800000001
2117,947582845316,541,2006,4,7.064943355704018,0.3296296296296296,142.60477950372209,20.184844000000002
2118,947582845316,544,2006,4,7.064943355704046,0.4062969158838416,1897.1242576675015,268.52646400000003
2119,947582845316,545,2006,4,7.0649433557040355,0.5249443914839529,1323.5005378660085,187.333496
2120,947582845316,546,2006,4,7.064943355704027,0.4387477666433621,565.6122153349883,80.058988
2121,947582845316,550,2006,4,7.064943355704024,0.3989672509851882,588.0444278411918,83.23413199999999
2122,947582845316,556,2006,4,7.064943355704037,0.4230867022629036,1333.1143432258107,188.69427199999998
2123,947582845316,557,2006,4,7.064943355704014,0.24206642066420664,197.0830098759305,27.895908000000002
2124,947582845316,559,2006,4,7.064943355704018,0.3966244725738397,75.30814198511167,10.659412
2125,947582845316,560,2006,4,7.064943355704028,0.4715205547300644,2478.759481935488,350.853412
2126,947582845316,561,2006,4,7.019400598998401,0.34086278678359466,765.7385215384622,109.088876
2127,947582845316,564,2006,4,7.064943355704018,0.006944444444444444,1.6023008933002485,0.226796
2128,947582845316,566,2006,4,7.064943355704018,0.26041666666666663,120.1725669975186,17.0097
2129,947582845316,567,2006,4,7.064943355704019,0.19422490831137973,376.5407099255585,53.297059999999995
2130,947582845316,569,2006,4,7.064943355704013,0.3988170680185889,189.07150540942916,26.761928
2131,947582845316,570,2006,4,7.0649433557040275,0.45024763619991,600.8628349875938,85.0485
2132,947582845316,573,2006,4,7.064943355704037,0.4910292728989614,1145.6451387096809,162.15913999999998
2133,947582845316,575,2006,4,7.064943355704018,0.3802068772714565,408.58672779156336,57.832980000000006
2134,947582845316,576,2006,4,7.064943355704017,0.3806287170773152,269.1865500744417,38.101728
2135,947582845316,584,2006,4,7.064943355704019,0.3551673944687045,97.74035449131516,13.834556
2136,947582845316,592,2006,4,7.064943355704018,0.17039403620873267,32.046017866004966,4.53592
2137,947582845316,598,2006,4,7.064943355704017,0.3646723646723647,51.27362858560794,7.257472
2138,947582845316,659,2006,4,7.0649433557040275,0.4720767888307156,866.8447832754358,122.69663600000001
2139,947582845316,736,2006,4,7.064943355704018,0.44077134986225897,32.046017866004966,4.53592
2140,2150000064,500,2006,5,18.778267041093546,0.010645894190197987,87.30613496296293,4.649318
2141,2150000064,501,2006,5,26.845391319265584,0.015137180700094609,310.50979585185206,11.566596
2142,2150000064,504,2006,5,23.03808928444284,0.002329838575470128,18.287312740740738,0.793786
2143,2150000064,505,2006,5,25.14777973091171,0.004137574347039049,11.406831703703705,0.453592
2144,2150000064,506,2006,5,18.77826704109354,0.005887651310441794,142.671001037037,7.597666
2145,2150000064,510,2006,5,30.101845156325837,0.015206082432973191,64.85629170370369,2.154562
2146,2150000064,511,2006,5,21.894031459592995,0.009469570072585148,131.58518711111108,6.0100940000000005
2147,2150000064,512,2006,5,21.68174860910183,0.006531022356191914,31.962670074074076,1.4741739999999999
2148,2150000064,520,2006,5,27.27095062751777,0.00381770460510618,12.369885037037037,0.453592
2149,2150000064,521,2006,5,18.778267041093546,0.0003703703703703704,2.129417925925926,0.113398
2150,2150000064,522,2006,5,27.27095062751777,0.005590496156533892,3.09247125925926,0.113398
