dma_code,DHHI
500,0.015561815644859981
501,0.009509120463058999
502,0.04691548418047719
503,0.026862997159830967
504,0.024344464065533727
505,0.018133719548255975
506,0.014812777889289823
507,0.018735168361378066
508,0.01829700601296441
509,0.028945831626096385
510,0.02487375614708303
511,0.02574856456195608
512,0.03297509143900447
513,0.009423376089522553
514,0.026939859141943065
515,0.03471833316838474
516,4.157233336528343e-06
517,0.025850250017930718
518,0.018034922716770492
519,0.019714296419315016
520,0.017973433159559214
521,0.015137734267517841
522,0.027242077847353337
523,0.013840566653280956
524,0.024839935383941365
525,0.01312416011167774
526,0.024560771636603564
527,0.03217332531408266
528,0.010093010296306517
529,0.031043286519093896
530,0.01005160322764975
531,0.021399456318492386
532,0.030457765122005896
533,0.013068582540933227
534,0.022987986367492105
535,0.02605783343006239
536,0.033884021117379794
537,0.01745681755499245
538,0.022200393284472528
539,0.01933523719731985
540,0.006685204171290222
541,0.02772676637570058
542,0.029530912929526962
543,0.01935481305086962
544,0.018294773607146597
545,0.01677486045131449
546,0.015613045709560958
547,0.018203569850138226
548,0.01627940302793558
549,0.024329942234928518
550,0.01820087620877162
551,0.014926468985175089
552,0.009773491387874875
553,0.008223374252733307
554,0.01899714702782977
555,0.03554285889207727
556,0.0352914705567808
557,0.02298461353243176
558,0.006131538090854698
559,0.030071283235089306
560,0.019090066686328174
561,0.012619328963286183
563,0.009002353926905737
564,0.026560606756379092
565,0.06223270286390051
566,0.0006281464984269406
567,0.019802942915898555
569,0.04106052343856794
570,0.018030564125386176
571,0.01739348490380064
573,0.03490300750875043
574,0.000750985141502419
575,0.020210605613073418
576,0.011907441884761566
577,0.0006298539181130168
581,0.030973511749692206
582,0.041978683240890546
583,0.005361627296323709
584,0.017749735155095696
588,0.025278566343012
592,0.013634568588397462
596,0.024385583777489568
597,0.022525965896116905
598,0.01957909783086506
600,0.00010844417876980432
602,0.022006121147625887
603,0.012225313079539907
604,0.013647932839630884
605,0.030374597139276174
606,0.027632742715733398
609,0.005090239442926411
610,0.03496742676589065
611,0.015962591093108755
612,0.041055413957514095
613,0.013057306483381912
616,0.02331442530177033
617,0.02053119175988241
618,0.018800830229962234
619,0.015628143699115526
622,0.031896657114026825
623,0.046984674702274534
624,0.026083604846332265
625,0.051572595906665034
627,0.008670102885931768
628,0.027104273782429973
630,0.017559610760766974
631,0.01643990948128692
632,0.03165584742267241
633,0.033515903336322095
634,0.03569095465232021
635,0.02503330069173059
636,0.0055759926630261115
637,0.021659240161443643
638,0.016711537408231343
639,0.016064683786365153
640,0.019464386381045765
641,0.0165423309945196
642,0.04570416184932438
643,0.04632273224882788
644,0.04022453163296765
647,0.023594442664306874
648,0.02056156771694368
649,0.03396195399006541
650,0.03078456495686767
652,0.01904530983927292
656,0.019421703448395923
657,0.06189736805858277
658,0.010325905067955748
659,0.020559793540531713
661,0.07572379210759643
662,0.0636526840084704
669,0.01699637675309204
670,0.05160790088671349
671,0.013325019813428688
673,0.030495014077546678
675,0.023166595794692282
676,0.027998170895382
678,0.050967463614488354
679,0.01650120545162627
682,0.02810346261122567
686,0.025649774792840987
687,0.0189690135608759
691,0.03068865098880981
692,0.028629686137647853
693,0.024805277299091356
698,0.019389234031312173
702,0.009750053419742498
705,0.028159684341133667
709,0.04453968930297353
710,0.039411854866703885
711,0.016395959200535055
716,0.03457084697458494
717,0.039653510826051064
718,0.020203878003366826
722,0.01327511105524436
724,0.025140036877477685
725,0.02780019908923867
736,0.02510320761501493
737,0.016542781049399213
740,0.026779396815633245
746,0.028608913876935274
749,0.0017921279444172325
751,0.03872290235538656
752,0.04000569038981548
753,0.0321841157085067
754,0.02673764303639125
755,0.020139980159550035
756,0.032148048937857526
757,0.05053345253974755
758,0.025011876893840525
759,0.0050124146830904754
760,0.040133943872643615
762,0.0273199961814171
764,0.0021098969176258668
765,0.026025265688223432
766,0.02430187615987009
767,0.01955701324601849
770,0.022075977478734295
771,0.02061280301318029
773,0.02840433465915139
789,0.024894153545293243
790,0.024630746767621538
798,0.016910030277011642
800,0.017649670695892156
801,0.038127426549729435
802,0.024482704750340638
803,0.02525718726902143
807,0.020163740924326955
810,0.03586909945716027
811,0.042019919136157054
813,0.04408648545668953
819,0.021636339299512503
820,0.03260387313005705
821,0.036067023875984414
825,0.03711761327947448
828,0.01623798841410027
839,0.03502580650330636
855,0.024156456335330832
862,0.022393085592950463
866,0.01704285557572295
868,0.02537962989744899
881,0.03731693880058905
