DOUBLE RASPBERRY	1454
SWEET BERRY	9992
CHOCOMINT	1581
MAUI MELON MINT	10744
GREEN APPLE	3337
DELICIOUS FRESH MINT	2002
ORIGINAL & GRAPE	355
BERRY PEARADISE	17390
SWEET CINNAMON	5336
BLUE RASPBERRY & APPLE	116
XTREME WINTERFRESH	108
FRESH CINNAMON	162
CHERRY	179
FRESH SPEARMINT	149
FRESH PEPPERMINT	134
GOURMET	44
NATURAL COOL MINT	88
POMEGRANATE & WILD BLUEBERRY	16
STRONG MINT	108
STRAWBERRY SMOOTHIE	7085
CYCLONE FRUIT	5
DANISH	2
HONEY LEMON CHILL	1
WINTERGREEN SPLASH	7390
PEPPERMINT KISS	1
STRAWBERRY BANANA	13007
ISLAND COOLER	10973
KIWI WATERMELON	7818
ALWAYS MANDARIN	8127
SANGRIA FRESCA	7934
FABULOUS FRUITINI	7540
FRUIT SORBET	7839
STRAWBERRY MINT	8192
ELIXIR	8301
LUSH	8142
MINT MEDLEY	8568
CITRUS	4452
PASSIONBERRY TWIST	7182
RED FRUIT LIME	6284
DELICIOUS SPEARMINT	3580
TANGY TROPICAL	3751
SWEET WATERMELON	6472
CLASSIC BUBBLE	6096
POMEGRANATE LEMON AID	1651
FRESH & COOL	4669
STRAWBERRY GUSH	4453
WATERMELON RAPID	2784
NONSTOP MINT	5942
MANGO KIWI COOLER	7276
ORANGE SWIRL	5209
COOL MANGOBERRY	7610
SOUR MANIA	739
POSITIVELY POMEGRANATE	4912
ICEMINT	10
FRESH MINT	2864
PEPPERMINT SPRAY	4342
SOLSTICE	4325
WATERMELON SPRING	4310
ZING	4299
MANGO SURF	3978
UBER BUBBLE	3689
BERRY SMOOTHIE	3503
MANGO SMOOTHIE	3406
STRAWBERRY TWIST	3281
COOL CITRUS	2953
EXOTIC MINT	1678
EXOTIC BERRY	1646
GREEN APPLE & GOLDEN PINEAPPLE	1638
WILD STRAWBERRY & TANGY CITRUS	1601
SPEARMINT SPRITZER	1313
SWEET & SASSY CHERRY	590
MEGA MYSTERY	191
TRIPLE BERRY	27
TWIN MINT	25
GREEN TEA	14
COOL FRUIT	10
GREEN TEA MINT	7
CHILL GLACIAL ICE	7
PEPPERMINT CHILL	7
