dma_code_month,median,min,max,mean,sum
500200601,1.4195151259876832e-05,5.652934696837682e-09,0.04659208281709374,0.00010249175517116097,0.3015307437135556
500200602,2.142908534419653e-05,1.7851372726855838e-08,0.0564281891895913,0.00012926072178743255,0.4045860591946639
500200603,1.7045581596824154e-05,1.4876143939046531e-08,0.0616050872803795,0.00012974470774752264,0.3861202502566274
500200604,3.4256660294970195e-05,5.652934696837682e-09,0.0693704344165618,0.00019203768753308606,0.5499959370947585
500200605,1.5791026791297894e-05,1.398357530270374e-08,0.07610040193458642,0.00014705556587094957,0.36896241477021247
500200606,2.2004296243172992e-05,1.1900915151237226e-08,0.08231267964353227,0.0001750853191411394,0.39586790657811616
500200607,2.3824144518383023e-05,1.5495983269840136e-08,0.09007802677971456,0.00021528685166577894,0.5089381173379014
500200608,1.9100968817735746e-05,1.1603392272456296e-08,0.06988812422564061,0.00016124882405597026,0.4016708207234219
500200609,2.8157565247827275e-05,1.5495983269840136e-08,0.08386574907076873,0.000195488704533931,0.5201954427647904
500200610,2.258198649947264e-05,1.5495983269840136e-08,0.06315815670761596,0.00018246179224712188,0.5178265663973319
500200611,2.5434635861224203e-05,1.398357530270374e-08,0.06781736498932532,0.0001598272039613461,0.4961036410960183
500200612,2.8276574399339648e-05,1.5495983269840136e-08,0.09577261467958158,0.00021456925222615623,0.6666666666666674
500200701,1.2763731499701926e-05,1.398357530270374e-08,0.04762746243525138,9.647123620856672e-05,0.3032090954035252
500200702,1.4578621060265603e-05,1.4876143939046531e-08,0.06212277708945833,0.00011619300187075869,0.40295733048779114
500200703,1.6586900492036884e-05,1.398357530270374e-08,0.0885249573524781,0.00014615862458645335,0.48612358537454387
500200704,2.1854543060853263e-05,1.398357530270374e-08,0.06056970766222186,0.0001416276197639294,0.4342302821962076
500200705,1.4281098181484672e-05,1.5495983269840136e-08,0.07299426308011353,0.00013680238442029973,0.3604742829474898
500200706,2.145511859608986e-05,1.0413300757332572e-08,0.09577261467958158,0.00018856844089780252,0.4740610604170755
500200707,1.939322306220493e-05,1.398357530270374e-08,0.08283036945261109,0.00017387070518754645,0.4256354862991137
500200708,1.9279482545004307e-05,1.1900915151237226e-08,0.06729967518024653,0.000154923885162625,0.3927320488872544
500200709,2.879277659402457e-05,1.5495983269840136e-08,0.06988812422564061,0.00018126511962561663,0.48760317179290874
500200710,2.466464665093915e-05,1.5495983269840136e-08,0.06729967518024653,0.00017938945166495613,0.49870267562857806
500200711,2.3206784544912588e-05,1.398357530270374e-08,0.0590166382349854,0.00015962195332275254,0.515419287279168
500200712,2.5812899011234302e-05,1.5495983269840136e-08,0.08697188792524163,0.00019659000207104376,0.6298743666356242
500200801,1.3110048130602929e-05,1.4876143939046531e-08,0.04607439300801492,9.6504464360032e-05,0.3110338886323831
500200802,1.558127316175734e-05,1.4876143939046531e-08,0.05383974014419722,0.00011781121689926609,0.40267873936169146
500200803,2.427786690852394e-05,1.7851372726855838e-08,0.07661809174366525,0.0001780896008303892,0.5827091739170335
500200804,1.3656300136044715e-05,1.4281098181484673e-08,0.056945878998670124,0.00011732049091081529,0.33025718191394504
