,brand_descr
193,THERA BREATH CS
194,DENTA FRESH CS
195,SWEET N FUN LTD-NBL B
196,WRIGLEY'S EXTRA FRUIT SNTNS CS
197,RAZZLES C
198,WORLD'S SPOOKY ROLLZ B
199,GALERIE-NBL B
200,AMUROL CLUCKERS B
201,GLEE GUM C
202,ELITE B
203,WRIGLEY'S HUBBA BUBBA MAX B
204,FRANKFORD CANDY&CHOCOLAT-NBL B
205,GOLD MINE B
206,ADAMS BUBBLICIOUS B
207,OAK LEAF B
208,PHILIPS SONICARE BREATH RX CS
209,BUBBLE BABIES B
210,ICE BREAKERS SOURS CS
211,H & S CANDIES B
212,FRUIT STRIPE B
213,WRIGLEY'S HUBBA BUBBA OUCH! BS
214,ADAMS TRIDENT SPLASH CS
215,GREEN TEA CS
216,TOPPS WACKY PACKAGES BS
217,TOPPS HERITAGE B
218,DUBBLE BUBBLE BUBBLE GUM FUN B
219,SATHERS B
220,TOPPS BAZOOKA BS
221,ADAMS DENTYNE FIRE CS
222,AURA CS
223,BRACH'S B
224,WRIGLEY'S ORBIT MIST CS
225,YOWSER!! HIP HEARTS B
226,IMPERIAL TOY CORPORATION-NBL B
227,KIDSMANIA DUBBLE BUBBLE B
228,OAK LEAF SPOOKY EYES B
229,DUBBLE BUBBLE CHICK FEED B
230,HILCO PUPPY PALS B
