0.5,0.72,,0.018849675,0.006840263,34,0.019992275
0.714,0.571,,0.005883792,0.00439491,,
0.667,0.727,,0.000882439,0.008047145,,
0.667,0.667,,0.000882439,0.000882439,,
0.667,0.667,,0.000882439,0.000882439,,
0.5,0.526,,0.018849675,0.012386381,,
0.757,0.5,,0.014329498,0.018849675,,
0.553,0.571,,0.007105498,0.00439491,,
0.5,0.8,,0.018849675,0.026473204,,
0.667,0.667,,0.000882439,0.000882439,,
0.6,1.25,,0.001390851,0.375408498,,
0.667,0.667,,0.000882439,0.000882439,,
0.5,0.667,,0.018849675,0.000882439,,
0.75,0.667,,0.012702616,0.000882439,,
0.5,0.5,,0.018849675,0.018849675,,
0.667,0.625,,0.000882439,0.000151145,,
0.5,0.5,,0.018849675,0.018849675,,
,,,,,,
,,,,,,
,0.637294118,,,,,
